                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38794,                0.24778,                 1.0686,                0.98978,                0.97529,                0.99171,                0.85778,                0.62435,                0.36733,                 1.1314,              0.0033172,              0.0033172,              0.0033172
                      2,                0.38442,                0.21492,                 1.0543,                0.97336,                0.94563,                0.98269,                0.87768,                 0.5937,                0.48552,                 1.1172,               0.006624,               0.006624,               0.006624
                      3,                0.42165,                0.24082,                 1.0578,                0.98993,                 0.9719,                0.98634,                0.86863,                0.64104,                 0.4952,                  1.133,               0.009904,               0.009904,               0.009904
                      4,                 0.4469,                0.26129,                 1.0587,                0.97334,                0.97364,                0.98849,                0.87234,                0.62598,                 0.4099,                 1.1503,                0.00988,                0.00988,                0.00988
                      5,                0.45243,                0.26579,                 1.0604,                0.99318,                0.95902,                0.99163,                0.86998,                0.70164,                0.57956,                 1.1586,                0.00984,                0.00984,                0.00984
                      6,                0.44736,                0.26567,                 1.0615,                0.98974,                0.96376,                0.98607,                0.87642,                0.64593,                0.46287,                 1.1288,                 0.0098,                 0.0098,                 0.0098
                      7,                0.44091,                0.25907,                 1.0589,                0.98469,                0.97364,                0.99298,                0.87181,                0.66336,                0.49699,                 1.1623,                0.00976,                0.00976,                0.00976
                      8,                0.44892,                0.26487,                 1.0593,                0.98993,                 0.9687,                0.99297,                0.88425,                0.67863,                0.56892,                 1.1245,                0.00972,                0.00972,                0.00972
                      9,                0.42998,                0.25569,                 1.0563,                0.98791,                0.97364,                0.99344,                0.89419,                0.71057,                0.47248,                 1.1546,                0.00968,                0.00968,                0.00968
                     10,                0.42782,                0.25577,                 1.0552,                0.98819,                0.97035,                 0.9911,                0.89037,                0.59959,                0.39812,                 1.1139,                0.00964,                0.00964,                0.00964
                     11,                0.42247,                0.25292,                 1.0597,                0.98915,                0.97364,                0.99302,                0.86439,                 0.7145,                0.42902,                 1.1411,                 0.0096,                 0.0096,                 0.0096
                     12,                0.42835,                0.25479,                 1.0549,                 0.9922,                0.96046,                0.99265,                 0.8848,                  0.639,                0.42215,                 1.1206,                0.00956,                0.00956,                0.00956
                     13,                0.42875,                0.25719,                 1.0568,                0.97967,                 0.9654,                0.98678,                0.86868,                0.71966,                0.57128,                  1.189,                0.00952,                0.00952,                0.00952
                     14,                0.41965,                0.25267,                 1.0563,                0.98623,                0.97364,                0.98933,                0.88391,                0.70191,                0.47838,                 1.1592,                0.00948,                0.00948,                0.00948
                     15,                0.41714,                0.24867,                 1.0576,                0.98325,                0.97694,                0.99303,                0.89507,                0.60896,                0.41349,                 1.1083,                0.00944,                0.00944,                0.00944
                     16,                0.41581,                0.25055,                 1.0576,                0.98998,                0.97656,                0.99137,                0.88174,                0.69017,                 0.5395,                 1.1794,                 0.0094,                 0.0094,                 0.0094
                     17,                0.41381,                0.24617,                 1.0559,                0.98612,                0.97694,                0.99362,                0.87142,                 0.6644,                0.45133,                 1.1425,                0.00936,                0.00936,                0.00936
                     18,                0.41522,                0.24803,                  1.055,                0.98995,                0.97342,                0.99285,                0.86944,                0.61359,                0.45083,                 1.1073,                0.00932,                0.00932,                0.00932
                     19,                0.40943,                0.24491,                  1.054,                0.99159,                0.97127,                0.99337,                0.87624,                0.65171,                0.52673,                 1.1349,                0.00928,                0.00928,                0.00928
                     20,                0.40483,                0.24411,                 1.0529,                0.98323,                0.96599,                0.99193,                0.88836,                0.61024,                0.66361,                 1.1032,                0.00924,                0.00924,                0.00924
                     21,                0.40899,                 0.2455,                 1.0547,                0.98993,                0.97209,                0.99349,                0.89374,                0.60234,                0.47114,                 1.1254,                 0.0092,                 0.0092,                 0.0092
                     22,                0.41093,                0.24421,                 1.0559,                0.98151,                0.97694,                0.99325,                0.86408,                0.61281,                0.42877,                 1.0988,                0.00916,                0.00916,                0.00916
                     23,                0.40307,                0.24323,                  1.052,                0.98773,                0.97858,                 0.9933,                0.88302,                0.59598,                0.38083,                 1.1171,                0.00912,                0.00912,                0.00912
                     24,                0.40416,                0.24208,                 1.0541,                0.97958,                0.96705,                0.98861,                 0.8799,                0.59635,                0.55348,                 1.1131,                0.00908,                0.00908,                0.00908
                     25,                0.39962,                0.24133,                 1.0537,                0.98831,                0.97472,                0.99347,                0.89925,                 0.5502,                0.45349,                 1.0917,                0.00904,                0.00904,                0.00904
                     26,                0.40101,                0.24024,                 1.0492,                0.98833,                0.97631,                 0.9934,                0.89237,                0.59155,                0.39625,                 1.1071,                  0.009,                  0.009,                  0.009
                     27,                0.39394,                0.23744,                  1.052,                 0.9817,                0.97211,                0.99157,                0.91028,                0.54613,                0.35148,                  1.094,                0.00896,                0.00896,                0.00896
                     28,                0.39948,                0.24155,                  1.051,                0.98181,                0.97364,                0.98873,                0.87029,                0.63659,                0.46446,                 1.1326,                0.00892,                0.00892,                0.00892
                     29,                0.39009,                0.23629,                 1.0542,                0.98739,                0.97364,                0.99161,                0.90712,                0.60736,                0.39272,                 1.1271,                0.00888,                0.00888,                0.00888
                     30,                 0.4004,                0.23902,                  1.051,                0.98103,                0.97529,                0.99289,                0.89938,                0.55039,                0.34759,                 1.1123,                0.00884,                0.00884,                0.00884
                     31,                0.39169,                0.23532,                 1.0537,                0.98911,                0.97529,                0.99358,                0.90135,                0.60078,                0.47831,                  1.122,                 0.0088,                 0.0088,                 0.0088
                     32,                0.38122,                0.23203,                 1.0512,                0.97626,                0.97364,                0.99227,                0.90157,                0.59068,                 0.5242,                  1.106,                0.00876,                0.00876,                0.00876
                     33,                0.39241,                0.23471,                 1.0502,                0.97815,                0.97035,                0.99225,                0.89699,                0.60986,                0.48968,                 1.1127,                0.00872,                0.00872,                0.00872
                     34,                0.39171,                0.23511,                 1.0503,                0.98992,                0.97046,                0.99368,                0.90214,                0.58954,                0.50993,                 1.1252,                0.00868,                0.00868,                0.00868
                     35,                0.37877,                0.22892,                  1.049,                0.98659,                 0.9695,                0.98994,                 0.9049,                0.58638,                0.54022,                  1.116,                0.00864,                0.00864,                0.00864
                     36,                0.38108,                0.23007,                 1.0503,                0.98349,                0.98135,                0.99233,                0.88914,                0.57501,                0.53293,                 1.1071,                 0.0086,                 0.0086,                 0.0086
                     37,                0.39494,                0.23372,                 1.0503,                0.98455,                0.98353,                0.99394,                0.90699,                0.57638,                0.39219,                 1.1132,                0.00856,                0.00856,                0.00856
                     38,                0.37528,                0.22847,                 1.0498,                 0.9851,                0.98006,                0.99366,                0.89199,                0.60127,                0.60008,                 1.1066,                0.00852,                0.00852,                0.00852
                     39,                0.38102,                0.23003,                 1.0494,                0.98995,                0.97403,                0.99382,                0.90112,                0.57807,                0.36455,                 1.1129,                0.00848,                0.00848,                0.00848
                     40,                0.38579,                0.23091,                 1.0484,                 0.9878,                0.98023,                0.99169,                0.91217,                0.53706,                0.47679,                  1.108,                0.00844,                0.00844,                0.00844
                     41,                0.38504,                0.23147,                 1.0525,                0.98808,                0.97694,                0.99359,                0.91527,                0.51644,                 0.4828,                 1.0835,                 0.0084,                 0.0084,                 0.0084
                     42,                0.36994,                 0.2251,                 1.0458,                0.99603,                0.97199,                0.99437,                 0.8885,                0.61513,                0.47136,                 1.1214,                0.00836,                0.00836,                0.00836
                     43,                0.38156,                0.23022,                 1.0509,                0.98409,                0.97858,                0.99313,                0.89545,                0.54121,                0.35822,                 1.0822,                0.00832,                0.00832,                0.00832
                     44,                0.37739,                0.22489,                  1.049,                0.99162,                0.97526,                 0.9941,                0.89918,                0.54899,                0.34287,                 1.0784,                0.00828,                0.00828,                0.00828
                     45,                0.37911,                0.22884,                 1.0494,                 0.9895,                0.96705,                0.99268,                0.89794,                0.57087,                0.37715,                 1.1012,                0.00824,                0.00824,                0.00824
                     46,                0.38183,                0.23012,                 1.0491,                 0.9863,                0.97694,                0.99086,                 0.8993,                0.64261,                0.47001,                 1.1658,                 0.0082,                 0.0082,                 0.0082
                     47,                0.37468,                0.22627,                 1.0491,                0.98154,                0.98188,                0.99379,                0.90407,                0.56232,                0.47273,                 1.0937,                0.00816,                0.00816,                0.00816
                     48,                0.37762,                0.22661,                 1.0475,                 0.9868,                0.98541,                0.99441,                0.90744,                0.64841,                0.54574,                 1.1318,                0.00812,                0.00812,                0.00812
                     49,                0.37825,                0.22544,                   1.05,                0.98786,                0.97694,                0.99423,                0.90715,                0.58652,                0.35957,                 1.1197,                0.00808,                0.00808,                0.00808
                     50,                0.37537,                0.22357,                 1.0503,                0.98926,                0.97529,                0.99401,                0.91865,                0.56041,                0.35445,                 1.1095,                0.00804,                0.00804,                0.00804
                     51,                0.37133,                 0.2231,                 1.0506,                0.98808,                0.97694,                0.99375,                0.91932,                0.55391,                0.42285,                 1.1015,                  0.008,                  0.008,                  0.008
                     52,                0.36837,                0.22225,                 1.0479,                0.97825,                0.98023,                0.99353,                0.90565,                0.57978,                0.39636,                 1.1188,                0.00796,                0.00796,                0.00796
                     53,                0.37195,                0.22419,                 1.0474,                0.98466,                0.98517,                0.99392,                0.90751,                0.56673,                0.41313,                 1.0997,                0.00792,                0.00792,                0.00792
                     54,                0.36606,                0.22295,                 1.0524,                0.98735,                0.98188,                0.99394,                 0.9006,                0.56198,                0.33336,                 1.1032,                0.00788,                0.00788,                0.00788
                     55,                0.36435,                0.21851,                 1.0465,                0.98426,                0.98517,                0.99454,                0.90431,                0.54435,                0.29776,                 1.0922,                0.00784,                0.00784,                0.00784
                     56,                0.36671,                0.22043,                 1.0488,                0.98828,                0.98023,                0.99436,                0.90945,                 0.5916,                0.40603,                 1.1165,                 0.0078,                 0.0078,                 0.0078
                     57,                0.36297,                0.21991,                 1.0482,                0.98917,                0.98023,                0.99441,                0.92063,                0.54176,                0.37999,                 1.0941,                0.00776,                0.00776,                0.00776
                     58,                0.36704,                0.22181,                 1.0468,                0.98679,                0.98458,                 0.9944,                0.91248,                0.53625,                 0.4135,                 1.0862,                0.00772,                0.00772,                0.00772
                     59,                0.36794,                0.22018,                 1.0476,                0.98507,                0.97813,                0.99401,                0.90773,                0.55056,                0.49985,                 1.1057,                0.00768,                0.00768,                0.00768
                     60,                0.35972,                0.21766,                 1.0462,                0.98943,                0.97364,                0.99313,                0.91269,                0.56025,                0.44659,                 1.1001,                0.00764,                0.00764,                0.00764
                     61,                0.35692,                0.21636,                 1.0492,                0.98489,                0.98353,                0.99391,                0.91631,                0.54842,                0.39328,                 1.1008,                 0.0076,                 0.0076,                 0.0076
                     62,                0.36131,                0.21756,                 1.0478,                0.98798,                0.97199,                0.99354,                 0.9078,                0.56148,                0.45524,                 1.1155,                0.00756,                0.00756,                0.00756
                     63,                0.37046,                0.22189,                 1.0488,                0.99161,                0.97314,                0.99367,                0.90757,                0.53378,                0.44515,                 1.0912,                0.00752,                0.00752,                0.00752
                     64,                0.35691,                0.21447,                 1.0454,                0.98992,                0.97529,                  0.994,                0.92923,                0.51785,                0.44848,                 1.0945,                0.00748,                0.00748,                0.00748
                     65,                0.35765,                0.21645,                 1.0472,                0.98412,                0.97858,                0.99426,                0.92313,                0.50873,                0.44886,                 1.0969,                0.00744,                0.00744,                0.00744
                     66,                0.36038,                0.21535,                 1.0457,                0.98185,                0.98046,                0.99426,                0.92149,                0.49453,                0.33408,                 1.0729,                 0.0074,                 0.0074,                 0.0074
                     67,                 0.3507,                0.21281,                 1.0438,                0.98111,                0.98682,                0.99411,                0.91164,                0.54477,                0.43547,                 1.0979,                0.00736,                0.00736,                0.00736
                     68,                0.35106,                0.21196,                 1.0455,                0.98035,                0.98654,                0.99395,                0.91564,                0.54615,                0.45354,                 1.1032,                0.00732,                0.00732,                0.00732
                     69,                0.35788,                 0.2141,                 1.0468,                0.98299,                0.97858,                0.99345,                0.91411,                0.53022,                0.44838,                 1.0903,                0.00728,                0.00728,                0.00728
                     70,                0.35206,                  0.213,                 1.0441,                0.98998,                0.97661,                0.99403,                0.91805,                0.49084,                0.39955,                 1.0736,                0.00724,                0.00724,                0.00724
                     71,                0.34888,                0.20996,                  1.045,                 0.9864,                0.97694,                0.99424,                0.91485,                0.51985,                0.32109,                 1.0857,                 0.0072,                 0.0072,                 0.0072
                     72,                0.34642,                 0.2096,                 1.0436,                0.98519,                0.98609,                0.99444,                0.91562,                 0.5046,                0.46524,                 1.0778,                0.00716,                0.00716,                0.00716
                     73,                 0.3513,                0.21217,                  1.044,                0.98468,                0.98847,                0.99447,                 0.9147,                0.51589,                0.36322,                 1.0885,                0.00712,                0.00712,                0.00712
                     74,                0.36167,                0.21623,                 1.0468,                0.99001,                0.97951,                0.99443,                0.91763,                0.51251,                0.40778,                 1.0881,                0.00708,                0.00708,                0.00708
                     75,                0.35249,                0.21387,                 1.0466,                0.99166,                0.97969,                0.99417,                 0.9188,                0.50866,                0.39237,                 1.0843,                0.00704,                0.00704,                0.00704
                     76,                0.35243,                0.21214,                  1.045,                0.98195,                0.98587,                0.99444,                 0.9078,                0.49658,                0.35456,                 1.0744,                  0.007,                  0.007,                  0.007
                     77,                0.35249,                 0.2106,                 1.0448,                0.98674,                0.98104,                0.99433,                0.91222,                0.48643,                0.35157,                 1.0767,                0.00696,                0.00696,                0.00696
                     78,                0.34675,                0.20963,                  1.044,                0.98402,                0.97858,                0.99437,                0.91316,                0.51053,                0.42697,                 1.0789,                0.00692,                0.00692,                0.00692
                     79,                0.34491,                0.21069,                 1.0432,                0.98461,                0.98517,                0.99442,                 0.9117,                0.52351,                0.39483,                 1.0855,                0.00688,                0.00688,                0.00688
                     80,                 0.3472,                0.21006,                 1.0432,                0.98633,                0.98188,                0.99435,                0.90983,                0.51456,                0.42918,                 1.0817,                0.00684,                0.00684,                0.00684
                     81,                0.34278,                0.20794,                 1.0435,                0.98752,                0.97858,                0.99412,                0.91445,                0.51738,                0.41665,                 1.0839,                 0.0068,                 0.0068,                 0.0068
                     82,                0.34177,                0.20805,                 1.0427,                0.99001,                0.97999,                0.99434,                0.91181,                0.51531,                0.36249,                 1.0789,                0.00676,                0.00676,                0.00676
                     83,                0.34263,                0.20728,                 1.0435,                0.99003,                0.98154,                0.99437,                0.91105,                0.52072,                0.37666,                  1.077,                0.00672,                0.00672,                0.00672
                     84,                0.34839,                0.20924,                 1.0462,                0.98847,                0.98835,                0.99453,                0.91568,                0.51531,                0.30424,                  1.083,                0.00668,                0.00668,                0.00668
                     85,                0.33958,                0.20571,                 1.0439,                0.98524,                0.98965,                0.99439,                0.91242,                0.52863,                 0.4034,                 1.0913,                0.00664,                0.00664,                0.00664
                     86,                 0.3469,                0.20768,                  1.042,                0.98012,                0.98682,                  0.994,                0.91525,                0.53398,                0.32836,                  1.094,                 0.0066,                 0.0066,                 0.0066
                     87,                0.34498,                0.20653,                 1.0477,                0.97549,                0.98338,                0.99367,                0.91219,                0.52848,                0.36467,                   1.09,                0.00656,                0.00656,                0.00656
                     88,                0.34064,                0.20771,                 1.0438,                0.98978,                0.97035,                0.99229,                0.91292,                0.52779,                0.37292,                 1.0977,                0.00652,                0.00652,                0.00652
                     89,                0.33972,                0.20613,                 1.0461,                0.99038,                0.97199,                0.99222,                0.91225,                0.52729,                0.39715,                 1.0932,                0.00648,                0.00648,                0.00648
                     90,                0.33866,                0.20386,                 1.0456,                0.98669,                0.97676,                0.99234,                0.90591,                0.53272,                0.39296,                 1.0966,                0.00644,                0.00644,                0.00644
                     91,                 0.3423,                0.20606,                 1.0406,                0.98679,                0.98488,                0.99424,                0.91005,                0.52633,                0.33531,                 1.0912,                 0.0064,                 0.0064,                 0.0064
                     92,                 0.3364,                0.20318,                  1.045,                0.98781,                0.98188,                 0.9941,                0.90954,                0.51244,                0.36309,                 1.0877,                0.00636,                0.00636,                0.00636
                     93,                0.34093,                0.20357,                 1.0415,                0.98342,                0.98517,                0.99417,                0.91154,                0.50797,                0.38537,                 1.0855,                0.00632,                0.00632,                0.00632
                     94,                0.33872,                0.20329,                 1.0415,                0.98654,                0.97858,                0.99403,                 0.9143,                0.52658,                0.35321,                 1.0992,                0.00628,                0.00628,                0.00628
                     95,                0.34252,                0.20634,                 1.0452,                0.98835,                0.97844,                0.99402,                0.92105,                0.52795,                0.35513,                 1.1008,                0.00624,                0.00624,                0.00624
                     96,                0.33383,                0.20075,                 1.0421,                0.98681,                0.98188,                0.99413,                0.91913,                 0.5242,                0.34454,                 1.0966,                 0.0062,                 0.0062,                 0.0062
                     97,                0.33409,                0.20243,                 1.0422,                0.99007,                0.98514,                0.99422,                0.91767,                0.51361,                0.35309,                 1.0945,                0.00616,                0.00616,                0.00616
                     98,                0.33656,                0.20336,                 1.0422,                0.99169,                0.98331,                0.99429,                0.91715,                0.51685,                0.36671,                 1.1027,                0.00612,                0.00612,                0.00612
                     99,                0.32439,                0.19744,                 1.0412,                0.99102,                0.98353,                0.99426,                0.91966,                0.51003,                0.36523,                 1.0981,                0.00608,                0.00608,                0.00608
                    100,                0.33208,                 0.2019,                 1.0431,                0.99168,                0.98182,                0.99406,                0.91584,                0.51791,                0.37017,                 1.1042,                0.00604,                0.00604,                0.00604
                    101,                0.32635,                0.19758,                 1.0435,                0.99115,                0.98353,                0.99399,                 0.9207,                0.51588,                0.40403,                 1.1112,                  0.006,                  0.006,                  0.006
                    102,                0.33005,                0.19828,                 1.0432,                0.99137,                0.98353,                 0.9941,                0.91794,                 0.5195,                0.39591,                 1.1118,                0.00596,                0.00596,                0.00596
                    103,                0.32702,                 0.1985,                 1.0415,                0.98985,                0.98353,                0.99411,                0.91629,                0.52753,                0.38495,                 1.1061,                0.00592,                0.00592,                0.00592
                    104,                 0.3356,                0.20231,                 1.0434,                0.98624,                0.98682,                0.99402,                0.91329,                0.52963,                0.39155,                  1.107,                0.00588,                0.00588,                0.00588
                    105,                0.33362,                0.19985,                 1.0414,                0.99006,                0.98477,                  0.994,                0.91011,                0.53392,                0.39937,                 1.1091,                0.00584,                0.00584,                0.00584
                    106,                0.31798,                 0.1933,                  1.043,                0.98831,                0.98517,                0.99409,                0.91038,                0.53945,                0.41023,                 1.1101,                 0.0058,                 0.0058,                 0.0058
