                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52986,                0.37371,                 1.8459,                 0.8141,                0.78725,                0.80515,                0.70952,                0.67798,                0.75999,                 1.9149,              0.0033185,              0.0033185,              0.0033185
                      2,                 0.5471,                0.37363,                 1.8345,                0.82394,                  0.758,                0.77694,                 0.6929,                 0.7266,                0.87727,                 1.9882,              0.0066189,              0.0066189,              0.0066189
                      3,                0.59641,                 0.4175,                 1.8646,                0.76784,                0.80389,                0.78496,                0.66674,                0.76755,                0.84992,                 2.0027,              0.0098863,              0.0098863,              0.0098863
                      4,                0.66568,                0.49286,                 1.9205,                0.80623,                0.72123,                0.74747,                 0.6275,                0.78574,                0.94426,                 2.0371,              0.0098515,              0.0098515,              0.0098515
                      5,                0.68128,                0.51344,                  1.942,                0.76916,                0.73055,                0.75538,                0.63022,                0.81276,                0.95576,                 2.1169,               0.009802,               0.009802,               0.009802
                      6,                0.68923,                0.52031,                 1.9335,                0.81224,                0.70357,                0.72812,                0.61845,                0.76199,                0.95073,                 2.0094,              0.0097525,              0.0097525,              0.0097525
                      7,                0.68731,                0.52417,                 1.9449,                0.78639,                0.72114,                0.73475,                0.61023,                0.85212,                0.96357,                 2.1378,               0.009703,               0.009703,               0.009703
                      8,                0.68134,                0.51157,                 1.9284,                 0.7735,                 0.7951,                 0.7824,                0.65767,                  0.766,                0.86122,                 2.0364,              0.0096535,              0.0096535,              0.0096535
                      9,                0.67574,                0.50658,                 1.9296,                0.82931,                0.72424,                0.73862,                0.61711,                0.83512,                0.89266,                 2.0677,               0.009604,               0.009604,               0.009604
                     10,                0.68044,                0.51948,                 1.9394,                0.81558,                0.73779,                0.75603,                0.63258,                0.79772,                   0.95,                 2.0291,              0.0095545,              0.0095545,              0.0095545
                     11,                0.67085,                0.51063,                  1.932,                0.83201,                0.72684,                0.76173,                0.64985,                0.72765,                 1.1038,                 1.9743,               0.009505,               0.009505,               0.009505
                     12,                0.67181,                0.51237,                  1.935,                0.83299,                0.72871,                0.73587,                0.61293,                 0.7487,                0.92439,                 2.0213,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.6643,                0.50806,                 1.9349,                0.74099,                0.79379,                0.76129,                0.62874,                0.79666,                0.98848,                 2.0873,               0.009406,               0.009406,               0.009406
                     14,                 0.6716,                0.51281,                 1.9342,                0.83769,                 0.7137,                0.78244,                0.65538,                0.79553,                 1.0035,                 2.0917,              0.0093565,              0.0093565,              0.0093565
                     15,                0.65468,                0.49849,                 1.9243,                0.82522,                0.76059,                0.78427,                0.64555,                0.79405,                 1.1142,                  2.077,               0.009307,               0.009307,               0.009307
                     16,                0.66172,                0.49952,                 1.9194,                 0.8106,                0.76058,                 0.7697,                0.65185,                0.74541,                0.84251,                 2.0057,              0.0092575,              0.0092575,              0.0092575
                     17,                0.67059,                0.50369,                 1.9289,                0.81019,                0.76042,                0.76685,                0.65504,                0.77077,                0.91601,                 2.0225,               0.009208,               0.009208,               0.009208
                     18,                0.65787,                0.49042,                 1.9165,                0.82137,                0.73636,                0.75619,                 0.6542,                 0.7365,                0.89743,                 2.0018,              0.0091585,              0.0091585,              0.0091585
                     19,                0.65311,                0.48831,                 1.9073,                0.84934,                0.74696,                0.78121,                0.66498,                0.73834,                0.86933,                 1.9775,               0.009109,               0.009109,               0.009109
                     20,                0.65881,                0.48624,                 1.9038,                0.81609,                0.74204,                0.76479,                0.65648,                0.73206,                0.98597,                 1.9724,              0.0090595,              0.0090595,              0.0090595
                     21,                0.64888,                0.48417,                 1.9055,                0.83297,                0.72714,                0.73314,                 0.6264,                 0.7683,                0.91487,                 1.9995,                0.00901,                0.00901,                0.00901
                     22,                0.66353,                 0.4949,                 1.9184,                0.79455,                0.74361,                0.74928,                0.64289,                  0.738,                0.86963,                 1.9627,              0.0089605,              0.0089605,              0.0089605
                     23,                0.64259,                0.48059,                 1.9083,                0.84593,                0.72937,                0.77561,                0.65663,                0.77275,                0.89322,                 1.9917,               0.008911,               0.008911,               0.008911
