                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0904,                 2.1917,                 2.4183,                0.68828,                0.58255,                0.65461,                0.51395,                0.87685,                 1.6609,                 2.0352,              0.0033156,              0.0033156,              0.0033156
                      2,                0.98492,                  1.194,                 2.2149,                0.63106,                 0.5634,                0.59958,                0.44631,                0.99975,                 3.2119,                 2.1149,              0.0066395,              0.0066395,              0.0066395
                      3,                 1.0877,                 1.2616,                 2.2936,                 0.4764,                0.32806,                0.32042,                0.20946,                 1.2869,                 6.2935,                 2.5314,               0.009954,               0.009954,               0.009954
                      4,                 1.2095,                 1.3984,                  2.415,                0.59425,                0.55359,                0.55836,                0.38706,                 1.1431,                 2.9008,                 2.3395,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.1465,                 1.2885,                 2.3712,                0.60751,                0.56816,                0.57321,                0.41229,                 1.0985,                 4.1658,                 2.2483,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.1125,                 1.2168,                 2.3246,                0.72756,                0.58843,                0.68752,                0.51523,                 1.0325,                 1.9472,                 2.1934,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.0754,                  1.126,                 2.2782,                0.71042,                0.61597,                0.68155,                0.51588,                0.99558,                 4.0861,                 2.1689,              0.0099151,              0.0099151,              0.0099151
                      8,                  1.041,                 1.0814,                 2.2582,                0.74326,                0.67563,                0.76281,                0.58451,                0.96932,                 1.6172,                  2.131,               0.009901,               0.009901,               0.009901
                      9,                  1.031,                 1.0351,                 2.2352,                0.76633,                  0.667,                0.76112,                0.58739,                0.95674,                 1.7079,                 2.1065,              0.0098869,              0.0098869,              0.0098869
                     10,                0.99814,                0.98417,                 2.2165,                0.74423,                0.54886,                0.63802,                0.49675,                0.93972,                 2.8367,                 2.1153,              0.0098727,              0.0098727,              0.0098727
                     11,                0.97534,                0.95803,                 2.1779,                0.76871,                0.69265,                0.76577,                0.60674,                 0.9224,                 1.2597,                 2.1095,              0.0098586,              0.0098586,              0.0098586
                     12,                 0.9594,                0.93151,                 2.1754,                0.79484,                0.71467,                0.79433,                0.61909,                0.91015,                  1.781,                 2.0659,              0.0098444,              0.0098444,              0.0098444
                     13,                0.95167,                 0.9098,                 2.1568,                0.80026,                0.64272,                0.74034,                0.58429,                0.92389,                 1.5144,                 2.0995,              0.0098303,              0.0098303,              0.0098303
                     14,                0.94367,                0.89494,                 2.1427,                0.75872,                0.72332,                0.78681,                0.62445,                0.87438,                 1.3578,                 2.0505,              0.0098161,              0.0098161,              0.0098161
                     15,                 0.9382,                0.88708,                 2.1465,                 0.8388,                0.75032,                0.84032,                0.68591,                0.83041,                 1.2476,                 1.9659,               0.009802,               0.009802,               0.009802
                     16,                0.91485,                0.84988,                  2.131,                0.80974,                0.76528,                0.83644,                0.68674,                0.82065,                 1.1462,                 1.9563,              0.0097879,              0.0097879,              0.0097879
                     17,                0.90632,                0.83454,                 2.1186,                0.83571,                0.75567,                0.84118,                0.68956,                0.79446,                 1.1936,                 1.9502,              0.0097737,              0.0097737,              0.0097737
                     18,                0.90978,                 0.8258,                  2.108,                0.83453,                0.72451,                0.82066,                 0.6785,                0.84246,                 1.0634,                 1.9826,              0.0097596,              0.0097596,              0.0097596
                     19,                0.88546,                0.80184,                 2.0917,                0.85834,                0.73295,                 0.8428,                0.68902,                0.85929,                 2.1402,                 1.9976,              0.0097454,              0.0097454,              0.0097454
