                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1372,                0.81299,                 1.6719,                0.97874,                 0.9551,                0.98637,                0.81477,                0.77167,                0.57427,                 1.2494,              0.0033326,              0.0033326,              0.0033326
                      2,                0.98284,                 0.5354,                 1.4916,                0.97967,                0.96022,                0.98868,                0.81897,                 0.7547,                0.54435,                 1.2318,              0.0066527,              0.0066527,              0.0066527
                      3,                 1.0368,                0.60275,                   1.53,                0.97722,                0.95993,                0.98845,                 0.8169,                0.75513,                0.89707,                 1.2351,              0.0099597,              0.0099597,              0.0099597
                      4,                 1.0781,                0.65009,                 1.5644,                 0.9776,                 0.9617,                0.98886,                0.82032,                0.75234,                0.91036,                 1.2348,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0541,                0.62036,                 1.5422,                0.97914,                0.96168,                0.98935,                0.82382,                0.74779,                0.86839,                 1.2315,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0404,                0.60506,                 1.5327,                0.97888,                0.96331,                0.98952,                0.82535,                0.74522,                0.81142,                 1.2295,               0.009901,               0.009901,               0.009901
                      7,                  1.035,                 0.5996,                 1.5271,                0.97909,                0.96368,                0.98988,                0.82644,                0.74362,                0.78391,                  1.228,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.0296,                 0.5933,                 1.5233,                 0.9797,                 0.9645,                0.99014,                0.82715,                0.74149,                0.77058,                 1.2261,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0292,                0.59195,                 1.5239,                0.98046,                0.96436,                0.99037,                0.82807,                 0.7405,                0.76131,                 1.2255,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0256,                0.58908,                 1.5211,                0.98055,                0.96469,                0.99048,                0.82823,                0.73864,                0.75604,                 1.2243,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0239,                0.58698,                 1.5209,                0.97999,                0.96551,                0.99059,                 0.8285,                0.73834,                0.74009,                 1.2249,               0.009802,               0.009802,               0.009802
                     12,                 1.0255,                0.58631,                  1.521,                0.98024,                0.96555,                0.99059,                0.82871,                0.73761,                0.73432,                 1.2247,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0249,                0.58743,                 1.5212,                0.98095,                0.96524,                0.99064,                0.82879,                0.73726,                0.71359,                 1.2248,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0217,                0.58209,                 1.5197,                0.98087,                0.96554,                0.99064,                0.82874,                0.73638,                0.71512,                 1.2243,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0236,                0.58274,                 1.5208,                0.98062,                0.96614,                0.99073,                0.82937,                0.73542,                 0.7202,                 1.2232,              0.0097228,              0.0097228,              0.0097228
                     16,                  1.019,                0.57955,                 1.5178,                0.98074,                0.96585,                0.99081,                0.82999,                0.73533,                0.71519,                 1.2238,               0.009703,               0.009703,               0.009703
                     17,                 1.0181,                0.58049,                 1.5183,                0.98096,                0.96587,                0.99083,                0.82998,                0.73495,                0.70089,                 1.2237,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0206,                0.57965,                  1.524,                0.98046,                0.96609,                0.99084,                0.83004,                0.73472,                 0.6897,                 1.2243,              0.0096634,              0.0096634,              0.0096634
