                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94867,                0.39888,                0.97019,                0.97646,                  0.937,                0.97438,                0.80003,                0.92938,                0.37418,                0.91441,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.0674,                0.50678,                 1.0146,                0.95757,                0.86175,                0.93623,                0.74341,                 1.0564,                0.59991,                0.96237,              0.0066507,              0.0066507,              0.0066507
                      3,                 1.1833,                0.62584,                 1.0629,                0.95643,                0.85112,                0.92559,                0.72229,                 1.0995,                0.66466,                0.98611,              0.0099576,              0.0099576,              0.0099576
                      4,                 1.2126,                0.66006,                  1.077,                0.96686,                0.89843,                0.95551,                0.76874,                 1.0033,                0.49819,                0.94549,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1772,                0.62434,                 1.0611,                0.96895,                0.91555,                0.96494,                0.77775,                0.97749,                0.48332,                 0.9344,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1688,                0.61242,                 1.0599,                0.97065,                0.92279,                 0.9677,                0.78929,                0.95582,                0.44394,                0.92518,               0.009901,               0.009901,               0.009901
                      7,                 1.1621,                0.60612,                 1.0563,                0.97052,                0.92863,                0.97123,                0.79655,                0.93852,                0.41821,                0.91663,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1617,                0.60597,                 1.0545,                0.97072,                0.93111,                0.97215,                0.79889,                0.93052,                 0.4257,                0.91535,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1531,                0.60075,                 1.0555,                0.97261,                0.93404,                0.97325,                0.80266,                0.91988,                0.43611,                0.91109,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.1548,                0.59958,                 1.0543,                0.97243,                0.93393,                0.97363,                 0.8039,                0.91589,                0.42259,                0.91012,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.1561,                0.60158,                 1.0537,                0.97146,                0.93726,                  0.975,                0.80541,                0.91297,                0.40741,                0.90913,               0.009802,               0.009802,               0.009802
