                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94702,                0.39727,                0.96911,                0.97707,                 0.9392,                0.97605,                0.80896,                0.90964,                0.41002,                0.90301,                0.00333,                0.00333,                0.00333
                      2,                 1.0563,                0.49639,                 1.0108,                0.96706,                 0.9175,                0.96318,                0.76653,                 1.0086,                0.75535,                0.94432,              0.0066468,              0.0066468,              0.0066468
                      3,                 1.1757,                0.61699,                 1.0595,                0.93273,                0.75354,                 0.8537,                0.66667,                 1.1517,                 1.0925,                  1.005,              0.0099471,              0.0099471,              0.0099471
                      4,                 1.2087,                0.65377,                 1.0745,                0.96559,                0.88675,                0.95006,                0.76617,                 1.0262,                0.57854,                0.95645,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.1757,                0.62209,                 1.0628,                0.96517,                0.91444,                0.96212,                0.77266,                 0.9879,                 0.7439,                0.93741,               0.009901,               0.009901,               0.009901
                      6,                 1.1695,                0.61242,                 1.0566,                0.96717,                0.89339,                0.95437,                0.76767,                 1.0014,                0.53327,                0.94214,              0.0098763,              0.0098763,              0.0098763
                      7,                 1.1568,                0.60182,                 1.0551,                0.96963,                0.92363,                0.96798,                0.78848,                0.95685,                0.60607,                 0.9224,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.1552,                0.60127,                  1.057,                0.97238,                 0.9276,                0.97022,                0.79578,                0.93842,                0.54325,                0.91475,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.1553,                0.60033,                 1.0538,                0.97193,                0.93139,                0.97164,                0.79856,                0.92665,                0.59416,                0.91298,               0.009802,               0.009802,               0.009802
                     10,                 1.1542,                0.59962,                 1.0538,                 0.9718,                0.93257,                0.97306,                0.80018,                0.92322,                0.55432,                0.91149,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.1512,                0.59708,                 1.0524,                0.97136,                0.93495,                0.97395,                0.80274,                0.91945,                0.54719,                0.90997,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.1526,                0.59666,                  1.054,                0.97193,                0.93493,                 0.9742,                0.80369,                0.91495,                0.56293,                0.90891,              0.0097278,              0.0097278,              0.0097278
                     13,                  1.153,                0.59991,                 1.0515,                0.97334,                0.93598,                0.97488,                0.80543,                0.90922,                0.53475,                0.90654,               0.009703,               0.009703,               0.009703
                     14,                 1.1517,                0.59903,                 1.0531,                0.97227,                0.93705,                0.97482,                0.80533,                0.90943,                0.55119,                0.90694,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.1536,                0.59778,                 1.0529,                0.97291,                 0.9371,                0.97462,                0.80657,                 0.9073,                0.55087,                0.90611,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.1529,                0.59646,                 1.0557,                0.97204,                0.93845,                0.97484,                0.80674,                0.90574,                0.55098,                0.90579,              0.0096288,              0.0096288,              0.0096288
                     17,                  1.152,                 0.5962,                 1.0528,                 0.9721,                 0.9382,                0.97481,                0.80715,                0.90484,                0.55837,                0.90541,               0.009604,               0.009604,               0.009604
                     18,                 1.1526,                0.59731,                 1.0515,                0.97151,                0.93827,                0.97482,                0.80746,                0.90484,                 0.5627,                0.90571,              0.0095793,              0.0095793,              0.0095793
