                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40471,                0.24244,                0.82694,                0.93403,                0.89413,                0.94484,                0.85934,                0.53104,                0.48544,                0.85624,              0.0033292,              0.0033292,              0.0033292
                      2,                0.44332,                0.27369,                 0.8336,                0.94036,                0.87911,                0.93189,                0.81676,                0.59274,                0.52493,                0.87633,              0.0066405,              0.0066405,              0.0066405
                      3,                0.51555,                0.33042,                0.85306,                0.93885,                0.86703,                0.92445,                0.79443,                0.62987,                0.50375,                0.89708,              0.0099299,              0.0099299,              0.0099299
                      4,                0.55853,                0.37351,                0.86872,                0.96554,                0.85235,                 0.9283,                0.78702,                0.62767,                0.48925,                0.89296,               0.009901,               0.009901,               0.009901
                      5,                0.56545,                0.37684,                0.87076,                 0.9513,                0.83509,                0.92339,                0.79436,                0.61923,                0.52316,                0.89112,               0.009868,               0.009868,               0.009868
                      6,                0.56979,                0.37675,                0.86999,                0.92981,                0.86702,                 0.9289,                0.80131,                0.61585,                0.53186,                0.89089,               0.009835,               0.009835,               0.009835
                      7,                0.56446,                 0.3719,                0.86982,                0.91445,                0.85376,                0.90897,                0.77374,                0.62094,                0.51797,                0.88794,               0.009802,               0.009802,               0.009802
                      8,                0.56381,                0.37609,                0.87045,                0.90193,                0.81275,                0.89015,                0.76862,                0.62931,                0.64372,                0.89338,               0.009769,               0.009769,               0.009769
                      9,                0.55935,                0.37142,                0.86953,                0.92109,                0.85706,                0.92281,                0.78513,                0.63571,                 0.5498,                0.89593,               0.009736,               0.009736,               0.009736
                     10,                0.55729,                0.36439,                0.86713,                0.91808,                0.85177,                0.91594,                 0.7994,                0.61053,                0.51801,                0.88251,               0.009703,               0.009703,               0.009703
                     11,                0.55342,                0.36533,                0.86598,                0.96691,                0.85647,                0.93555,                 0.8155,                0.58851,                 0.4918,                0.88084,                0.00967,                0.00967,                0.00967
                     12,                0.55225,                0.36437,                0.86621,                0.94942,                0.87972,                0.93491,                0.82011,                0.58238,                0.50683,                0.87452,               0.009637,               0.009637,               0.009637
