                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.104,                 9.9674,                      0,                0.79707,                 1.3365,                0.99534,                0.99278,                0.99493,                0.88931,                0.27775,                0.23826,                0.13654,                0.02788,                0.54899,                 6.5232,                      0,                0.28642,                0.87836,              0.0033277,              0.0033277,              0.0033277
                      2,                0.83998,                 7.3805,                      0,                0.47785,                 1.1293,                0.99636,                0.99293,                0.99495,                0.90202,                0.65825,                0.60196,                0.59437,                0.21968,                0.51654,                 4.3227,                      0,                0.27864,                0.85456,              0.0066501,              0.0066501,              0.0066501
                      3,                0.85484,                 6.3494,                      0,                0.49799,                 1.1272,                0.99162,                0.99014,                0.99482,                0.88231,                0.65343,                0.59718,                0.58514,                 0.2584,                0.56535,                 4.3909,                      0,                0.33987,                0.89082,              0.0099614,              0.0099614,              0.0099614
                      4,                0.86196,                 5.8177,                      0,                0.50928,                  1.133,                0.99436,                0.99429,                 0.9949,                0.87247,                0.81657,                0.76088,                0.75538,                0.39465,                0.58498,                 3.2109,                      0,                0.30563,                0.88786,              0.0099505,              0.0099505,              0.0099505
                      5,                0.83943,                 5.4407,                      0,                0.49315,                 1.1102,                0.99672,                0.99433,                0.99495,                0.90609,                0.84567,                0.80773,                0.82624,                0.48507,                0.49576,                 2.7894,                      0,                0.26452,                 0.8359,               0.009934,               0.009934,               0.009934
                      6,                0.82007,                 5.1868,                      0,                0.48064,                 1.1022,                0.99694,                0.99599,                0.99497,                0.90744,                0.86628,                0.82149,                0.84335,                0.52896,                0.48511,                 2.6134,                      0,                0.26598,                0.83616,              0.0099175,              0.0099175,              0.0099175
                      7,                0.80949,                 5.0467,                      0,                 0.4748,                 1.0984,                0.99665,                0.99513,                0.99497,                0.90963,                0.85406,                0.80216,                0.83668,                0.54647,                0.49001,                 2.7066,                      0,                0.26118,                0.83539,               0.009901,               0.009901,               0.009901
                      8,                 0.8015,                 4.9344,                      0,                0.46959,                 1.1011,                0.99799,                0.99778,                0.99498,                0.92329,                 0.8894,                0.86254,                0.88758,                0.60761,                0.44366,                 2.1943,                      0,                 0.2493,                0.80617,              0.0098845,              0.0098845,              0.0098845
                      9,                0.79847,                 4.8739,                      0,                0.46789,                 1.0934,                0.99836,                0.99838,                0.99498,                0.92868,                0.90047,                0.87708,                0.89758,                0.62702,                 0.4234,                  2.046,                      0,                0.23357,                0.79824,               0.009868,               0.009868,               0.009868
                     10,                0.79316,                 4.8315,                      0,                0.46421,                  1.089,                0.99854,                0.99866,                0.99498,                0.92474,                0.90176,                0.88402,                0.90007,                0.63815,                0.43402,                 1.9679,                      0,                0.23292,                0.80305,              0.0098515,              0.0098515,              0.0098515
                     11,                0.79272,                 4.7959,                      0,                 0.4639,                 1.0835,                0.99877,                 0.9989,                0.99499,                0.92757,                0.91038,                0.89014,                0.90699,                0.65246,                0.42222,                 1.9035,                      0,                 0.2314,                0.79704,               0.009835,               0.009835,               0.009835
                     12,                0.79017,                 4.7642,                      0,                0.46154,                 1.0834,                0.99878,                0.99867,                0.99499,                0.93764,                0.91586,                0.90214,                0.92263,                0.68885,                0.39954,                  1.796,                      0,                 0.2196,                0.78713,              0.0098185,              0.0098185,              0.0098185
                     13,                0.78621,                 4.7209,                      0,                0.45866,                 1.0886,                0.99868,                0.99898,                0.99499,                0.93934,                0.92265,                0.90622,                0.92734,                  0.693,                0.39476,                  1.719,                      0,                0.21448,                0.78129,               0.009802,               0.009802,               0.009802
                     14,                0.78669,                 4.6954,                      0,                0.45932,                 1.0803,                0.99887,                0.99883,                0.99499,                0.94229,                0.92226,                 0.9106,                0.92838,                0.69872,                 0.3895,                 1.7091,                      0,                0.21209,                0.77786,              0.0097855,              0.0097855,              0.0097855
