                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50098,                 2.3312,                      0,                0.27316,                0.96142,                0.99958,                0.99947,                  0.995,                0.95912,                0.95363,                0.94975,                0.96398,                0.77222,                0.32991,                 1.2337,                      0,                0.18491,                0.74622,              0.0033303,              0.0033303,              0.0033303
                      2,                0.63701,                 3.3389,                      0,                0.35108,                 1.0133,                0.99626,                0.99708,                0.99494,                0.92294,                0.87016,                0.85063,                0.86555,                0.61066,                0.43756,                 2.2155,                      0,                0.23862,                0.81012,              0.0066527,              0.0066527,              0.0066527
                      3,                0.71806,                 4.0811,                      0,                0.40829,                 1.0461,                0.99826,                0.99823,                0.99498,                0.91867,                0.88386,                0.85549,                0.87366,                 0.6029,                0.45255,                 2.1904,                      0,                0.25587,                0.81326,               0.009964,               0.009964,               0.009964
                      4,                0.71904,                 4.1303,                      0,                0.41573,                 1.0506,                0.99854,                0.99871,                0.99499,                0.93698,                0.92755,                0.90884,                0.93309,                0.71305,                0.40855,                 1.6835,                      0,                0.23151,                0.78968,              0.0099505,              0.0099505,              0.0099505
                      5,                0.69329,                 3.9098,                      0,                 0.3996,                 1.0397,                0.99895,                0.99914,                0.99499,                0.94187,                0.93131,                0.92326,                0.93779,                0.74578,                0.38231,                 1.4962,                      0,                0.20955,                0.77823,               0.009934,               0.009934,               0.009934
                      6,                0.68352,                 3.8359,                      0,                0.39382,                 1.0311,                0.99907,                0.99943,                  0.995,                0.94889,                0.94261,                0.93695,                0.94539,                0.76847,                 0.3622,                 1.3385,                      0,                0.19795,                0.76822,              0.0099175,              0.0099175,              0.0099175
                      7,                  0.683,                 3.8256,                      0,                0.39412,                 1.0344,                0.99918,                0.99952,                  0.995,                0.95132,                0.95003,                0.94356,                0.96185,                0.80469,                0.36056,                 1.2499,                      0,                 0.1958,                0.76693,               0.009901,               0.009901,               0.009901
                      8,                0.67995,                 3.8038,                      0,                0.39153,                 1.0315,                0.99929,                0.99943,                  0.995,                0.95864,                0.95224,                0.94646,                0.96277,                0.81087,                0.34037,                 1.2036,                      0,                0.18699,                0.75707,              0.0098845,              0.0098845,              0.0098845
                      9,                0.68035,                 3.8048,                      0,                0.39213,                 1.0279,                0.99933,                0.99972,                0.99499,                 0.9584,                0.95329,                0.94841,                0.96413,                0.81764,                0.33868,                  1.178,                      0,                0.18357,                0.75633,               0.009868,               0.009868,               0.009868
                     10,                0.67867,                 3.7967,                      0,                0.39115,                 1.0336,                0.99941,                0.99967,                  0.995,                0.95798,                0.95354,                0.94834,                0.96424,                0.81934,                0.33474,                 1.1627,                      0,                0.18104,                0.75526,              0.0098515,              0.0098515,              0.0098515
                     11,                0.67719,                 3.7749,                      0,                0.38941,                 1.0307,                0.99933,                0.99976,                  0.995,                0.96022,                0.95447,                 0.9502,                0.96706,                0.82452,                0.33043,                  1.147,                      0,                0.17733,                0.75306,               0.009835,               0.009835,               0.009835
                     12,                0.68098,                 3.8015,                      0,                 0.3922,                 1.0314,                0.99919,                0.99971,                0.99499,                 0.9584,                0.95499,                0.94939,                0.96594,                0.82238,                0.33134,                 1.1439,                      0,                0.17626,                 0.7534,              0.0098185,              0.0098185,              0.0098185
                     13,                0.67497,                 3.7669,                      0,                0.38874,                  1.035,                0.99923,                0.99956,                0.99499,                0.95936,                0.95541,                0.94978,                0.96735,                0.82795,                0.33101,                 1.1377,                      0,                 0.1757,                0.75311,               0.009802,               0.009802,               0.009802
                     14,                0.67656,                 3.7647,                      0,                0.38996,                 1.0345,                0.99925,                0.99974,                  0.995,                0.96025,                0.95549,                0.95004,                0.96785,                0.83095,                0.32982,                 1.1368,                      0,                0.17394,                0.75238,              0.0097855,              0.0097855,              0.0097855
                     15,                0.67739,                 3.7908,                      0,                0.39019,                 1.0296,                0.99925,                0.99971,                  0.995,                0.96019,                0.95551,                0.94964,                0.96777,                0.83112,                0.32968,                 1.1366,                      0,                0.17382,                0.75256,               0.009769,               0.009769,               0.009769
                     16,                0.67508,                 3.7705,                      0,                0.38942,                 1.0325,                0.99931,                0.99969,                  0.995,                0.96001,                0.95562,                0.94983,                0.96789,                0.83175,                0.32983,                 1.1368,                      0,                0.17337,                0.75267,              0.0097525,              0.0097525,              0.0097525
                     17,                0.67727,                 3.7799,                      0,                0.39007,                 1.0309,                0.99937,                0.99967,                  0.995,                0.96016,                0.95562,                0.94993,                0.96817,                0.83278,                0.33026,                  1.138,                      0,                0.17301,                0.75296,               0.009736,               0.009736,               0.009736
                     18,                0.67812,                 3.7875,                      0,                0.39093,                 1.0299,                0.99941,                0.99972,                  0.995,                0.96021,                0.95543,                 0.9497,                0.96796,                0.83243,                0.33033,                 1.1408,                      0,                0.17314,                0.75299,              0.0097195,              0.0097195,              0.0097195
                     19,                0.67475,                 3.7622,                      0,                0.38889,                 1.0278,                0.99938,                0.99967,                  0.995,                0.95998,                 0.9554,                0.94947,                0.96788,                0.83219,                0.33093,                 1.1428,                      0,                0.17322,                0.75337,               0.009703,               0.009703,               0.009703
                     20,                0.67677,                 3.7744,                      0,                0.38938,                 1.0321,                0.99935,                0.99971,                  0.995,                   0.96,                0.95488,                0.94887,                0.96758,                0.83224,                0.33147,                 1.1446,                      0,                0.17307,                0.75371,              0.0096865,              0.0096865,              0.0096865
                     21,                0.67662,                 3.7778,                      0,                0.39031,                  1.032,                0.99938,                0.99976,                  0.995,                 0.9599,                0.95451,                0.94837,                0.96638,                0.83216,                 0.3321,                 1.1467,                      0,                0.17327,                0.75403,                0.00967,                0.00967,                0.00967
                     22,                 0.6769,                 3.7828,                      0,                0.39057,                   1.03,                0.99937,                0.99972,                  0.995,                0.95977,                0.95439,                0.94831,                0.96641,                0.83207,                0.33293,                 1.1486,                      0,                0.17337,                 0.7544,              0.0096535,              0.0096535,              0.0096535
                     23,                0.67611,                 3.7682,                      0,                0.38957,                 1.0281,                0.99933,                0.99975,                  0.995,                0.95969,                0.95464,                0.94841,                0.96649,                0.83182,                0.33335,                 1.1497,                      0,                0.17337,                0.75465,               0.009637,               0.009637,               0.009637
                     24,                0.67457,                 3.7634,                      0,                0.38794,                 1.0334,                0.99928,                0.99971,                  0.995,                0.95973,                0.95452,                 0.9482,                0.96641,                0.83196,                0.33317,                 1.1493,                      0,                0.17346,                0.75465,              0.0096205,              0.0096205,              0.0096205
                     25,                0.67292,                 3.7587,                      0,                0.38699,                 1.0319,                0.99931,                0.99972,                  0.995,                0.95985,                0.95457,                0.94815,                 0.9665,                 0.8321,                 0.3332,                 1.1503,                      0,                0.17338,                0.75478,               0.009604,               0.009604,               0.009604
                     26,                0.67637,                 3.7812,                      0,                0.38982,                 1.0319,                0.99931,                0.99979,                  0.995,                0.95973,                0.95439,                0.94801,                0.96646,                0.83206,                0.33335,                 1.1501,                      0,                0.17327,                0.75488,              0.0095875,              0.0095875,              0.0095875
