                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76625,                 3.8598,                0.54442,                0.48047,                 1.1864,                0.93641,                0.94828,                0.97321,                0.88074,                0.80031,                0.56897,                0.62125,                0.59817,                0.48752,                 3.5495,                0.14884,                0.29561,                 0.8859,                0.00032,                0.00032,                0.00032
                      2,                0.75368,                 3.6689,                 0.5215,                0.49492,                 1.1806,                0.96401,                0.98276,                0.98502,                0.89059,                0.78026,                0.58621,                0.61547,                0.54057,                 0.4712,                 3.3456,                 0.1631,                0.36595,                0.76584,             0.00065782,             0.00065782,             0.00065782
                      3,                 0.7379,                 3.5225,                0.47261,                0.48815,                  1.125,                 0.9913,                0.98276,                0.98578,                0.91987,                0.75082,                0.58621,                0.62165,                0.52261,                0.44585,                 3.2574,                0.15147,                0.32415,                0.76147,              0.0009934,              0.0009934,              0.0009934
                      4,                0.76742,                 3.5154,                0.47907,                0.49387,                 1.1075,                0.96433,                0.98276,                 0.9831,                0.85413,                 0.6991,                0.55172,                0.54356,                0.39795,                0.57643,                 4.1316,                0.18287,                0.34252,                0.88001,              0.0013267,              0.0013267,              0.0013267
                      5,                0.71116,                 3.0823,                0.46411,                0.48052,                 1.1271,                0.97934,                0.98276,                0.98421,                 0.8868,                0.75978,                0.60345,                0.60543,                0.46936,                0.50056,                 3.5433,                0.17283,                0.31608,                0.81125,              0.0016578,              0.0016578,              0.0016578
                      6,                0.69352,                 2.9063,                0.46878,                0.46096,                 1.0958,                0.98113,                0.98276,                0.98564,                0.85556,                 0.6522,                0.56897,                0.52451,                0.40839,                0.55937,                 3.8106,                0.16622,                0.35474,                0.83797,               0.001967,               0.001967,               0.001967
                      7,                0.71365,                 3.2968,                0.47829,                0.48485,                 1.0815,                0.92727,                0.94828,                0.97694,                0.83671,                0.61479,                0.43103,                0.44201,                0.23571,                0.65134,                 5.1344,                0.21673,                0.39705,                 0.9487,              0.0019604,              0.0019604,              0.0019604
                      8,                0.76966,                 3.3504,                0.47885,                0.49033,                 1.0962,                0.96562,                0.98276,                0.98219,                0.83166,                0.59531,                0.56897,                 0.5015,                0.32415,                0.63415,                 3.6148,                0.19431,                0.43672,                0.92772,              0.0019538,              0.0019538,              0.0019538
                      9,                0.74124,                 3.0104,                0.47494,                0.47906,                 1.1356,                0.98105,                0.98276,                0.98298,                0.85955,                 0.6075,                0.58621,                0.47886,                0.29245,                0.58421,                 3.7289,                0.18001,                0.35756,                0.90419,              0.0019472,              0.0019472,              0.0019472
                     10,                0.72169,                 2.9947,                0.47618,                 0.4989,                 1.1161,                0.98146,                0.98276,                0.98228,                0.90082,                0.72716,                0.74138,                0.67158,                  0.382,                0.49305,                 3.1834,                0.16822,                0.33061,                0.81414,              0.0019406,              0.0019406,              0.0019406
                     11,                0.71141,                 3.0382,                0.47459,                0.47108,                  1.087,                0.98132,                0.98276,                0.98019,                0.87314,                0.70573,                 0.7069,                0.62223,                0.41805,                0.53052,                 2.8841,                0.21982,                 0.3086,                0.85953,               0.001934,               0.001934,               0.001934
                     12,                0.71377,                 2.9607,                  0.471,                0.48396,                 1.0937,                0.98085,                0.98276,                0.98052,                 0.8651,                0.59251,                0.60171,                0.49385,                0.33452,                0.57517,                 3.6443,                0.20825,                0.34137,                 0.8745,              0.0019274,              0.0019274,              0.0019274
                     13,                0.72227,                 2.8769,                0.45771,                0.48037,                 1.0502,                0.96828,                0.98276,                0.98063,                0.87227,                0.58515,                0.58621,                 0.4216,                0.22585,                 0.5195,                 3.8205,                0.17867,                0.34105,                0.84983,              0.0019208,              0.0019208,              0.0019208
                     14,                0.71163,                 2.9616,                0.47379,                0.47847,                 1.1095,                0.98264,                  0.976,                0.98227,                0.83402,                0.73487,                0.72414,                0.66051,                0.44331,                0.60093,                 2.8411,                0.17316,                0.38388,                0.90821,              0.0019142,              0.0019142,              0.0019142
                     15,                0.71872,                 2.8236,                0.45912,                0.47879,                 1.0851,                0.98265,                0.97682,                0.98353,                0.85261,                0.76755,                0.75862,                0.69811,                0.50977,                0.59633,                 2.3797,                0.16466,                0.36677,                0.87658,              0.0019076,              0.0019076,              0.0019076
                     16,                 0.7347,                 2.9379,                0.47872,                0.49024,                 1.0873,                0.96653,                0.96552,                0.98053,                0.85382,                0.64247,                0.63793,                0.50131,                0.38452,                0.56011,                 3.1881,                0.16128,                0.37177,                0.85812,               0.001901,               0.001901,               0.001901
                     17,                0.72069,                 2.7274,                0.46114,                0.47584,                 1.0836,                0.97927,                0.98276,                0.98195,                0.87786,                0.70438,                 0.7069,                0.61088,                0.45809,                0.51652,                 2.8289,                0.17674,                0.32861,                0.84302,              0.0018944,              0.0018944,              0.0018944
                     18,                0.71122,                 2.7983,                0.46376,                0.49779,                 1.0894,                0.97915,                0.98276,                0.97899,                0.88007,                 0.6772,                0.68966,                0.57772,                0.42291,                0.50169,                 2.9186,                 0.1723,                0.34128,                0.80948,              0.0018878,              0.0018878,              0.0018878
                     19,                0.70085,                  2.651,                0.45885,                0.46528,                 1.0909,                0.97974,                0.98276,                0.98357,                0.86094,                0.76652,                0.75862,                0.67828,                 0.4742,                0.53694,                 2.3789,                0.18551,                0.34546,                0.82386,              0.0018812,              0.0018812,              0.0018812
                     20,                0.67744,                 2.6707,                0.47076,                0.46382,                 1.0609,                0.98269,                0.97869,                0.98451,                0.85933,                0.80098,                 0.7931,                0.72992,                0.54013,                0.60251,                 2.7132,                0.19768,                0.33108,                0.86799,              0.0018746,              0.0018746,              0.0018746
                     21,                0.71767,                 2.7802,                0.45877,                0.48973,                 1.1454,                0.97733,                0.98276,                0.98435,                0.88457,                0.81021,                0.81034,                0.78936,                0.58752,                0.53334,                 2.1747,                0.17197,                0.32025,                0.80344,               0.001868,               0.001868,               0.001868
                     22,                0.74693,                 2.9596,                0.46619,                0.49901,                 1.0668,                 0.9961,                0.98276,                0.98567,                 0.8501,                 0.6551,                0.60345,                0.50916,                0.37421,                0.65214,                 3.5677,                0.18855,                0.36554,                0.91083,              0.0018614,              0.0018614,              0.0018614
                     23,                0.70512,                 2.7249,                0.46395,                0.48145,                 1.1193,                0.98123,                0.98276,                0.98398,                0.86254,                0.67396,                0.60592,                0.61238,                0.45269,                  0.581,                  3.411,                0.17994,                0.36086,                0.85745,              0.0018548,              0.0018548,              0.0018548
                     24,                0.68386,                 2.5627,                0.47135,                0.46389,                 1.0858,                0.96605,                0.98118,                0.98298,                0.88834,                0.67025,                0.67241,                0.56889,                0.40854,                0.47032,                 2.9965,                0.19685,                0.32672,                 0.7746,              0.0018482,              0.0018482,              0.0018482
                     25,                 0.6908,                 2.5624,                0.47075,                0.45684,                 1.0802,                0.98182,                0.98276,                0.98461,                0.87329,                0.82042,                0.81034,                0.77354,                0.53398,                0.52834,                 2.0669,                0.18812,                0.34957,                0.83288,              0.0018416,              0.0018416,              0.0018416
                     26,                0.69959,                 2.4848,                0.45156,                0.47247,                 1.1107,                0.98161,                0.98276,                0.98525,                 0.8798,                0.70604,                 0.7069,                0.62303,                0.43513,                0.52567,                 2.8641,                0.17999,                0.35823,                0.81639,               0.001835,               0.001835,               0.001835
                     27,                0.70932,                   2.62,                0.47948,                0.48137,                 1.1229,                0.98199,                0.98276,                0.98452,                0.87854,                 0.6778,                0.65517,                0.59543,                0.40912,                0.55623,                  3.112,                0.18261,                0.32482,                0.85671,              0.0018284,              0.0018284,              0.0018284
                     28,                0.71601,                 2.6029,                0.46163,                0.49634,                 1.0965,                0.98127,                0.98276,                0.98611,                0.88713,                0.75742,                0.75862,                0.72666,                0.57117,                0.53333,                 2.4651,                0.19687,                0.32171,                0.82984,              0.0018218,              0.0018218,              0.0018218
                     29,                0.71164,                 2.5528,                0.45746,                0.47989,                 1.0674,                0.98704,                0.98276,                0.98583,                0.86863,                0.72411,                0.72414,                0.65436,                 0.4961,                0.53344,                 2.7371,                0.17991,                0.32026,                0.81559,              0.0018152,              0.0018152,              0.0018152
                     30,                0.69211,                 2.5435,                0.45673,                0.47014,                 1.0721,                0.98275,                0.98226,                0.98563,                0.88055,                0.72956,                0.68966,                0.63342,                0.41537,                0.55309,                 3.2439,                0.19719,                0.33806,                0.83779,              0.0018086,              0.0018086,              0.0018086
                     31,                0.67909,                 2.5505,                0.46827,                 0.4598,                 1.0749,                0.98175,                0.98276,                0.98524,                0.87623,                0.67144,                0.67241,                0.60905,                0.40168,                0.51258,                 3.3608,                0.20027,                0.34214,                0.79462,               0.001802,               0.001802,               0.001802
                     32,                 0.6879,                 2.6192,                0.46012,                0.47226,                 1.0663,                0.97871,                0.98276,                 0.9859,                0.86728,                0.71706,                 0.7069,                0.67183,                0.53317,                0.53297,                 2.7234,                0.20221,                0.33734,                0.81238,              0.0017954,              0.0017954,              0.0017954
                     33,                0.70957,                 2.6755,                0.47256,                0.47371,                 1.0872,                0.98175,                0.98276,                0.98475,                0.89451,                0.71204,                 0.7069,                0.66172,                0.52744,                0.49024,                 2.6764,                0.20478,                  0.297,                 0.8376,              0.0017888,              0.0017888,              0.0017888
                     34,                0.66145,                 2.3503,                0.48164,                 0.4511,                 1.0766,                0.96504,                0.98276,                0.98289,                0.87776,                0.61011,                0.62069,                0.55275,                0.39857,                0.54151,                 3.0224,                0.18368,                0.33081,                 0.8369,              0.0017822,              0.0017822,              0.0017822
                     35,                0.65817,                 2.3801,                0.47101,                0.45407,                 1.0625,                0.98274,                0.98193,                0.98151,                0.84353,                0.73438,                0.72414,                0.63019,                0.45119,                0.61964,                 2.6078,                0.19074,                0.34321,                0.89553,              0.0017756,              0.0017756,              0.0017756
                     36,                0.67985,                 2.3605,                0.45899,                0.45622,                 1.0819,                0.98253,                0.98276,                0.98385,                0.87498,                0.70339,                0.68966,                0.56937,                0.35229,                 0.5572,                 2.9108,                0.18222,                0.32757,                0.84716,               0.001769,               0.001769,               0.001769
                     37,                0.72147,                 2.5641,                0.47061,                 0.4903,                 1.0689,                 0.9811,                0.98276,                0.98335,                0.86978,                0.72283,                0.72414,                0.62159,                0.40627,                0.54782,                 3.1006,                0.18014,                0.32832,                0.84351,              0.0017624,              0.0017624,              0.0017624
                     38,                0.68559,                 2.4756,                 0.4739,                0.48418,                 1.0878,                 0.9606,                0.96552,                0.98358,                0.86897,                 0.6226,                0.65517,                0.50868,                0.37217,                0.53862,                 3.1503,                 0.1785,                0.33821,                0.80955,              0.0017558,              0.0017558,              0.0017558
                     39,                0.70404,                 2.6303,                 0.4566,                0.46952,                 1.0337,                0.98134,                0.98276,                0.98396,                0.87131,                 0.7401,                0.74138,                0.64447,                0.44559,                0.51709,                 2.6068,                 0.1859,                0.31425,                0.80579,              0.0017492,              0.0017492,              0.0017492
                     40,                 0.6707,                 2.1491,                0.46212,                0.45404,                 1.0443,                0.98271,                0.98026,                0.98265,                0.83801,                0.60811,                0.62069,                0.56511,                0.33997,                 0.6289,                 3.5607,                 0.2142,                0.37999,                0.88496,              0.0017426,              0.0017426,              0.0017426
                     41,                0.65457,                 2.2577,                0.44875,                0.44007,                 1.0811,                0.98272,                0.98071,                0.98672,                0.90207,                0.65502,                0.65474,                0.60197,                 0.4693,                0.51145,                 3.0923,                0.19542,                0.31421,                0.81606,               0.001736,               0.001736,               0.001736
                     42,                0.65971,                 2.2724,                0.44371,                0.43735,                 1.0428,                0.98094,                0.98276,                0.98728,                0.88932,                0.75722,                0.75862,                0.71703,                0.49368,                 0.5516,                 2.6413,                 0.1844,                0.32347,                0.84152,              0.0017294,              0.0017294,              0.0017294
                     43,                0.61599,                  2.206,                0.44197,                0.42987,                 1.0146,                0.98683,                0.98276,                 0.9859,                0.85679,                0.76153,                0.77586,                0.67986,                0.44023,                0.60564,                  2.537,                0.20006,                0.33151,                0.87182,              0.0017228,              0.0017228,              0.0017228
                     44,                0.64468,                 2.1489,                0.44737,                 0.4421,                 1.1075,                0.98047,                0.98276,                0.98496,                0.87944,                0.73928,                0.74138,                0.65976,                0.48457,                0.54832,                 2.6301,                0.19712,                0.33092,                0.84601,              0.0017162,              0.0017162,              0.0017162
                     45,                0.64861,                 2.0575,                0.45207,                0.44788,                 1.0904,                0.98019,                0.98276,                0.98496,                0.87532,                0.70441,                 0.7069,                0.63214,                 0.4101,                0.57224,                 3.0673,                0.19878,                0.35003,                0.85641,              0.0017096,              0.0017096,              0.0017096
                     46,                0.64572,                 2.2167,                0.46224,                0.44778,                 1.0846,                0.98161,                0.98276,                0.98662,                 0.8975,                0.69417,                0.68966,                 0.5672,                0.44178,                 0.5198,                 3.1147,                0.20272,                0.30943,                0.82415,               0.001703,               0.001703,               0.001703
                     47,                0.70658,                 2.4167,                0.44552,                0.46424,                   1.07,                0.98194,                0.98276,                0.98587,                0.87028,                0.77455,                0.77586,                0.69458,                0.45641,                0.58659,                  3.248,                 0.1824,                0.34786,                0.85512,              0.0016964,              0.0016964,              0.0016964
                     48,                0.64356,                 2.0903,                0.44936,                0.44622,                 1.0478,                0.98115,                0.98276,                0.98522,                0.86324,                0.68779,                0.68966,                0.60702,                0.43348,                 0.5549,                 3.3481,                0.17344,                0.34596,                 0.8649,              0.0016898,              0.0016898,              0.0016898
                     49,                0.63331,                 2.1094,                0.44818,                0.43411,                 1.0522,                0.98083,                0.98276,                0.98474,                0.87412,                0.65368,                0.65517,                 0.5702,                0.42888,                0.55336,                 3.2922,                 0.1695,                0.33018,                0.83854,              0.0016832,              0.0016832,              0.0016832
                     50,                0.65694,                 2.0807,                0.46087,                0.43822,                 1.0571,                0.98017,                0.98276,                0.98416,                0.87965,                0.75627,                0.75862,                0.70234,                0.52825,                0.54529,                 2.5273,                0.18113,                0.31911,                0.82448,              0.0016766,              0.0016766,              0.0016766
                     51,                0.64383,                 2.2706,                 0.4369,                 0.4356,                 1.0177,                0.96474,                0.98276,                0.98468,                0.88471,                0.69391,                 0.7069,                0.61954,                0.41795,                0.51328,                 2.8765,                0.17817,                0.31733,                0.80465,                0.00167,                0.00167,                0.00167
                     52,                 0.6336,                 2.0026,                0.44754,                0.42533,                 1.0186,                0.96421,                0.98276,                0.98196,                0.90695,                0.76081,                0.77586,                0.71881,                0.53308,                0.47756,                 2.3722,                 0.1789,                 0.2957,                0.78638,              0.0016634,              0.0016634,              0.0016634
