                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5836,                 9.2819,                0.71092,                 4.1729,                 2.7465,                0.15776,                0.09756,                 0.0399,                0.00801,                0.00256,                0.04878,                0.00141,                0.00104,                 3.0866,                 10.439,                0.69707,                 3.2593,                 3.8442,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.5503,                 9.1661,                0.71068,                 4.1451,                 2.8066,                0.16273,                0.08537,                0.04145,                0.00884,                0.00257,                0.04878,                0.00142,                0.00104,                  3.099,                 10.431,                0.69728,                 3.3336,                 3.8664,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      3,                 2.5191,                 9.2475,                 0.7123,                 3.9581,                 2.7729,                0.14827,                0.08537,                0.03532,                 0.0078,                 0.0026,                0.04878,                 0.0014,                  0.001,                  3.094,                 10.434,                0.69748,                 3.4122,                 3.8283,             0.00015842,             0.00015842,             0.00015842
                      4,                 2.2509,                 9.2036,                0.71195,                  2.896,                 2.3082,                0.55105,                0.47903,                0.49713,                0.18026,                0.00148,                0.08537,                0.00085,                 0.0006,                 2.0062,                 10.429,                0.69759,                  1.824,                 2.1027,             0.00021673,             0.00021673,             0.00021673
                      5,                  1.717,                 9.2925,                0.70391,                 2.0724,                 1.7369,                0.28835,                0.42683,                0.25749,                0.07836,                0.00171,                0.10976,                0.00096,                 0.0008,                 2.2584,                  10.24,                0.69466,                 2.7171,                 2.1027,             0.00027446,             0.00027446,             0.00027446
                      6,                 1.4816,                 9.2093,                0.69338,                  1.729,                 1.5748,                0.73719,                0.81707,                0.80091,                0.43797,                0.01095,                 0.0122,                0.00172,                0.00126,                 1.4371,                 10.356,                0.69218,                 1.1526,                 1.6226,             0.00033159,             0.00033159,             0.00033159
                      7,                 1.4731,                 8.9354,                0.68623,                 1.7476,                 1.6361,                0.70198,                0.70732,                0.78988,                0.45349,                0.00167,                0.02439,                0.00112,                0.00057,                  1.446,                 10.369,                0.68776,                 1.1303,                  1.618,             0.00038812,             0.00038812,             0.00038812
                      8,                 1.2951,                 8.8671,                0.67558,                 1.4027,                 1.5353,                0.72088,                 0.7439,                0.78581,                0.44844,                0.01749,                 0.0122,                0.00225,                0.00093,                 1.5017,                 10.335,                0.68078,                 1.1629,                 1.6533,             0.00044406,             0.00044406,             0.00044406
                      9,                 1.2475,                 8.6419,                0.66117,                 1.2008,                  1.495,                0.76403,                0.70732,                0.76259,                0.29193,                0.00303,                0.04878,                0.00167,                0.00113,                 2.2075,                 10.368,                0.67878,                 1.4517,                 2.4587,             0.00049941,             0.00049941,             0.00049941
                     10,                 1.3962,                 8.5789,                0.66139,                  1.416,                 1.5041,                0.88758,                0.87805,                 0.9308,                0.64175,                0.00488,                 0.0122,                0.00158,                0.00143,                 1.1129,                 10.044,                0.66076,                 1.3152,                 1.3443,             0.00055416,             0.00055416,             0.00055416
