                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.28842,                 0.5118,                0.72717,                0.20805,                0.91359,                0.99991,                      1,                  0.995,                0.95817,                0.97687,                0.97384,                0.97977,                 0.9186,                0.32353,                0.56604,                0.19126,                0.16608,                0.78521,                 0.0024,                 0.0024,                 0.0024
                      2,                0.31588,                0.59167,                0.76971,                0.22563,                0.91158,                0.99989,                      1,                  0.995,                 0.9549,                0.97323,                0.97118,                0.97708,                0.90094,                 0.3311,                0.62879,                0.20838,                0.16973,                0.79496,              0.0048903,              0.0048903,              0.0048903
                      3,                0.32146,                0.55311,                0.72595,                0.23157,                0.90254,                0.99836,                0.99712,                  0.995,                0.93028,                0.92533,                0.91643,                0.91909,                  0.766,                0.40404,                  1.404,                0.84071,                0.20983,                 0.8371,              0.0073707,              0.0073707,              0.0073707
                      4,                0.32492,                0.60874,                0.76073,                0.23396,                 0.9154,                0.99989,                      1,                  0.995,                0.94681,                0.95198,                0.93948,                0.93259,                0.76033,                0.35365,                 1.0768,                0.19994,                0.18169,                0.80088,              0.0098412,              0.0098412,              0.0098412
                      5,                0.38414,                0.83198,                0.91713,                0.27053,                0.90959,                0.99964,                0.99568,                  0.995,                0.92652,                  0.861,                0.83899,                0.79228,                 0.5495,                0.40738,                 2.5592,                 1.3589,                0.22437,                0.83343,              0.0099208,              0.0099208,              0.0099208
                      6,                0.37556,                0.78086,                0.95349,                0.26067,                0.92595,                0.99996,                      1,                  0.995,                0.92137,                0.84826,                0.84726,                0.81191,                0.62653,                0.41533,                  2.027,                0.92507,                0.21302,                0.84002,               0.009901,               0.009901,               0.009901
                      7,                0.38477,                0.78944,                0.97611,                0.26429,                0.93623,                      1,                 0.9998,                  0.995,                0.93228,                0.88731,                0.88617,                0.82971,                0.61891,                0.39268,                  1.794,                0.77074,                0.20704,                0.82725,              0.0098812,              0.0098812,              0.0098812
                      8,                0.38586,                0.80816,                 1.0179,                0.26538,                0.94203,                0.99948,                      1,                  0.995,                0.95113,                0.90947,                0.90058,                0.89185,                 0.7369,                0.34359,                 1.5224,                0.30061,                0.17947,                 0.7929,              0.0098614,              0.0098614,              0.0098614
                      9,                0.42219,                0.91114,                 1.0627,                0.28723,                0.93131,                0.99987,                0.98559,                0.99408,                0.90843,                0.88291,                0.84748,                0.80511,                0.61133,                0.43156,                 2.1606,                0.67213,                 0.2445,                0.83534,              0.0098416,              0.0098416,              0.0098416
                     10,                0.39138,                0.80623,                 1.0107,                0.26854,                0.93754,                0.99935,                 0.9928,                  0.995,                0.90931,                0.85774,                0.83285,                0.79631,                0.58803,                  0.466,                 2.3103,                 1.0429,                0.25169,                0.86487,              0.0098218,              0.0098218,              0.0098218
                     11,                0.40422,                0.78905,                0.99344,                0.27819,                0.92661,                 0.9691,                0.81357,                0.94065,                0.69819,                0.55781,                0.46542,                0.44145,                0.23012,                0.97173,                  5.311,                 9.4819,                0.84692,                 1.2358,               0.009802,               0.009802,               0.009802
