                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3122,                   0.23,                0.41924,                0.21496,                0.92201,                0.99991,                      1,                  0.995,                0.97765,                0.98406,                0.98415,                0.98842,                0.98762,                0.22801,                0.13502,                0.00752,                 0.1365,                0.71386,                 0.0024,                 0.0024,                 0.0024
                      2,                0.33029,                0.24033,                0.40832,                0.22884,                0.91971,                 0.9999,                      1,                  0.995,                0.97633,                0.98406,                0.98415,                0.98668,                0.98446,                0.24321,                0.15006,                0.01081,                0.14299,                0.72418,              0.0048903,              0.0048903,              0.0048903
                      3,                0.34062,                0.26151,                0.43451,                0.23331,                  0.913,                0.99993,                      1,                  0.995,                0.97313,                 0.9812,                0.98127,                0.98693,                0.98547,                0.24658,                0.16495,                0.04969,                0.15418,                0.72089,              0.0073707,              0.0073707,              0.0073707
                      4,                0.35302,                0.28946,                0.43883,                0.24225,                0.92365,                0.99995,                0.99856,                  0.995,                0.97303,                0.97943,                0.97695,                0.97785,                0.97036,                 0.2681,                0.21884,                0.16579,                0.16873,                0.73121,              0.0098412,              0.0098412,              0.0098412
                      5,                0.39137,                0.37743,                 0.5371,                0.27135,                0.91306,                      1,                0.99253,                  0.995,                0.95171,                0.93144,                0.92363,                0.92368,                0.88922,                0.33012,                0.89643,                0.17358,                0.20124,                0.77687,              0.0099208,              0.0099208,              0.0099208
                      6,                 0.3824,                0.34767,                0.52021,                0.26235,                0.92778,                0.99842,                0.99424,                  0.995,                0.93269,                0.90432,                0.90058,                0.88388,                0.82293,                0.38359,                  1.055,                0.22662,                0.20897,                 0.8161,               0.009901,               0.009901,               0.009901
                      7,                 0.3781,                0.34151,                0.53044,                0.25485,                0.93379,                0.99988,                      1,                  0.995,                0.96753,                0.99556,                0.99568,                0.99493,                0.98078,                0.28081,                0.14902,                0.02988,                0.16734,                0.74624,              0.0098812,              0.0098812,              0.0098812
                      8,                0.38447,                0.33988,                0.54717,                0.26372,                0.93696,                0.99413,                0.97593,                0.99458,                0.92554,                0.91652,                0.88594,                0.88668,                0.82332,                0.40169,                 1.1265,                0.54468,                0.29331,                0.83052,              0.0098614,              0.0098614,              0.0098614
                      9,                0.40425,                0.40273,                0.61396,                0.27595,                0.92497,                0.99577,                 0.9683,                0.99308,                0.89347,                0.93203,                0.90778,                0.92791,                0.84429,                0.51207,                0.98157,                0.77973,                0.30298,                0.90749,              0.0098416,              0.0098416,              0.0098416
                     10,                0.38329,                0.33187,                0.51962,                0.26185,                0.93164,                      1,                0.98691,                 0.9945,                0.95801,                0.97372,                0.96098,                0.96574,                0.94709,                0.28157,                 0.3451,                 0.1517,                0.17939,                0.74955,              0.0098218,              0.0098218,              0.0098218
                     11,                0.39018,                0.32646,                0.51447,                0.26718,                 0.9211,                0.97511,                0.96542,                0.99181,                0.90354,                 0.8594,                0.82793,                0.82314,                0.72706,                0.45788,                 1.5881,                0.75215,                0.31795,                0.86454,               0.009802,               0.009802,               0.009802
                     12,                0.37394,                0.31786,                0.53348,                0.25689,                0.93726,                      1,                0.99999,                  0.995,                0.96211,                0.98559,                0.98558,                0.98486,                0.97018,                0.29077,                0.21132,                0.07928,                0.17406,                0.75205,              0.0097822,              0.0097822,              0.0097822
                     13,                0.37764,                0.34237,                0.54083,                 0.2606,                0.93069,                0.98203,                0.94472,                0.98443,                 0.8634,                0.73195,                0.70431,                0.68639,                0.59186,                0.55621,                 2.8462,                 1.1171,                0.44478,                0.92334,              0.0097624,              0.0097624,              0.0097624
                     14,                0.36387,                 0.3061,                0.49556,                0.24762,                0.93821,                0.99909,                0.98127,                0.99361,                0.93203,                0.94637,                0.92939,                0.92967,                0.89569,                0.40268,                0.78894,                0.40635,                0.24284,                0.82366,              0.0097426,              0.0097426,              0.0097426
                     15,                0.38507,                0.37582,                0.56972,                0.26497,                0.91925,                0.99815,                      1,                  0.995,                0.94989,                0.92603,                0.92075,                0.91622,                 0.8714,                0.38091,                 1.0575,                0.24311,                0.20002,                0.81442,              0.0097228,              0.0097228,              0.0097228
                     16,                0.37303,                0.31861,                0.52062,                0.25538,                0.93234,                0.98112,                0.94957,                0.99054,                0.84749,                0.84192,                0.79044,                0.79794,                0.70462,                 0.6417,                 1.8258,                0.91825,                0.46266,                0.98669,               0.009703,               0.009703,               0.009703
                     17,                0.38107,                0.34263,                0.55541,                0.25684,                0.93299,                      1,                 0.9998,                  0.995,                0.96723,                0.98991,                0.98972,                0.98846,                0.97096,                0.28867,                0.25281,                0.10461,                0.15916,                0.74681,              0.0096832,              0.0096832,              0.0096832
                     18,                 0.3734,                0.32746,                0.51054,                0.25436,                0.92745,                0.98091,                0.96542,                0.98787,                0.90632,                0.83811,                0.82277,                0.83224,                0.77021,                0.46414,                 1.7051,                0.96672,                0.37581,                0.87033,              0.0096634,              0.0096634,              0.0096634
                     19,                0.40129,                0.37362,                0.56256,                 0.2757,                0.92975,                      1,                0.99247,                  0.995,                 0.9289,                0.93704,                0.92939,                0.92238,                0.87692,                0.38557,                0.83228,                0.31263,                0.24565,                0.80028,              0.0096436,              0.0096436,              0.0096436
                     20,                0.38368,                0.38062,                0.61358,                0.25782,                0.92576,                      1,                0.99987,                  0.995,                0.96712,                0.98127,                0.98115,                0.98616,                0.97932,                0.31136,                0.21888,                0.03603,                0.15759,                0.76522,              0.0096238,              0.0096238,              0.0096238
                     21,                0.37055,                0.34398,                0.54645,                0.25019,                0.92513,                0.99996,                      1,                  0.995,                0.96662,                0.98558,                0.98495,                0.98777,                0.97381,                0.28757,                0.24214,                0.06173,                0.16869,                 0.7401,               0.009604,               0.009604,               0.009604
                     22,                0.37071,                0.31774,                0.50901,                0.25214,                0.92032,                0.99989,                      1,                  0.995,                0.96377,                0.96675,                0.96686,                0.95837,                0.95152,                0.30417,                0.32756,                0.05278,                0.16532,                0.74611,              0.0095842,              0.0095842,              0.0095842
                     23,                0.36969,                0.30674,                0.50242,                0.25125,                0.93159,                 0.9999,                      1,                  0.995,                0.96345,                0.98261,                0.98271,                0.98548,                0.97181,                0.29261,                0.27555,                0.02928,                0.16646,                0.74326,              0.0095644,              0.0095644,              0.0095644
                     24,                0.37158,                 0.3266,                0.53325,                0.25449,                0.93711,                      1,                0.99981,                  0.995,                0.97042,                0.98126,                0.98109,                0.98765,                 0.9766,                0.29197,                0.26768,                0.03911,                 0.1601,                0.74065,              0.0095446,              0.0095446,              0.0095446
                     25,                0.38169,                0.34329,                 0.5484,                0.26015,                0.92474,                0.99218,                0.91443,                0.98105,                0.84855,                0.87011,                0.79539,                0.80857,                0.74386,                 0.6105,                  1.802,                 1.1003,                0.48808,                0.97171,              0.0095248,              0.0095248,              0.0095248
                     26,                0.35455,                0.29356,                 0.4681,                0.24261,                0.92609,                0.99987,                      1,                  0.995,                0.97377,                0.98114,                0.98127,                0.98624,                 0.9813,                    0.3,                 0.1989,                 0.0291,                0.15218,                0.75718,               0.009505,               0.009505,               0.009505
                     27,                0.38791,                0.37809,                0.59912,                0.26633,                0.94189,                0.98719,                0.88827,                0.97895,                0.85511,                0.76254,                0.68444,                 0.6621,                 0.5375,                0.51436,                  2.762,                 2.1535,                0.43926,                0.91155,              0.0094852,              0.0094852,              0.0094852
                     28,                0.35814,                0.30915,                0.51116,                0.24307,                0.92547,                0.99992,                      1,                  0.995,                0.96833,                0.99127,                0.99135,                0.99401,                  0.986,                0.29404,                0.16196,                0.03311,                0.14852,                0.75091,              0.0094654,              0.0094654,              0.0094654
                     29,                0.36042,                0.30811,                0.50446,                0.24681,                0.92912,                0.93863,                0.93804,                0.98018,                0.81315,                0.81247,                0.72415,                0.71108,                 0.5948,                0.65921,                 2.3785,                 2.1822,                0.49029,                 1.0195,              0.0094456,              0.0094456,              0.0094456
                     30,                0.38599,                0.37145,                 0.5984,                0.26247,                0.93118,                0.98169,                0.97262,                0.99316,                0.91356,                0.81252,                0.80548,                0.78676,                0.72861,                0.41412,                 2.0523,                0.49208,                0.27102,                0.82883,              0.0094258,              0.0094258,              0.0094258
