                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78441,                0.27689,                 2.4243,                0.54985,                 1.1769,                0.96285,                0.94017,                0.97323,                0.79002,                0.87116,                 0.8547,                0.84078,                0.79657,                0.79111,                0.27915,                 5.1359,                0.45068,                 1.0705,                0.00022,                0.00022,                0.00022
                      2,                0.71706,                0.24322,                 1.9005,                0.52034,                 1.1372,                0.96457,                0.93088,                0.97724,                0.78341,                0.85161,                0.83389,                 0.8138,                0.76062,                0.81415,                  0.287,                 4.1745,                0.45341,                 1.0541,             0.00045772,             0.00045772,             0.00045772
                      3,                0.77596,                 0.2611,                 1.7465,                0.56527,                 1.1116,                0.94187,                0.96936,                0.98022,                0.77564,                0.86321,                 0.8547,                0.82847,                 0.7625,                 0.8155,                0.28337,                 3.8915,                0.51361,                 1.0482,             0.00069307,             0.00069307,             0.00069307
                      4,                 0.7435,                0.25141,                 1.7431,                 0.5516,                  1.119,                0.94204,                0.94872,                0.97943,                0.77839,                0.85304,                 0.8547,                0.83642,                0.78455,                0.82212,                0.27901,                 4.3624,                0.46101,                 1.0587,             0.00092604,             0.00092604,             0.00092604
                      5,                0.72191,                0.21825,                 1.5782,                0.52693,                 1.1195,                0.97354,                0.94351,                0.98214,                0.78233,                 0.8624,                 0.8547,                0.85161,                0.79731,                0.81053,                0.28995,                  4.115,                 0.4527,                  1.053,              0.0011566,              0.0011566,              0.0011566
                      6,                0.70935,                0.20931,                 1.6188,                0.53089,                 1.1067,                0.99089,                0.92936,                0.97645,                0.76733,                0.86994,                0.85752,                0.85524,                0.79241,                0.84418,                0.29966,                 5.0417,                0.46238,                 1.0969,              0.0013849,              0.0013849,              0.0013849
                      7,                0.75423,                0.22858,                 1.6559,                0.55672,                 1.1329,                0.96902,                0.93162,                 0.9825,                0.77838,                0.86964,                0.83761,                0.83492,                0.76524,                0.83044,                0.35781,                 4.8871,                0.49459,                 1.0532,              0.0016107,              0.0016107,              0.0016107
                      8,                 0.7823,                 0.2356,                 1.7841,                 0.5658,                 1.1423,                0.97248,                0.90603,                 0.9805,                0.77126,                0.85001,                0.82342,                0.81842,                0.76143,                0.82962,                0.35113,                  4.062,                0.46942,                 1.0773,              0.0018342,              0.0018342,              0.0018342
                      9,                 0.7874,                0.21226,                 1.7001,                0.57574,                 1.1168,                0.98547,                0.90598,                0.98203,                0.74414,                0.87991,                0.79487,                0.83272,                0.76072,                0.89023,                0.34338,                 3.7768,                0.50236,                 1.1171,              0.0019208,              0.0019208,              0.0019208
                     10,                0.79578,                0.23152,                  1.758,                 0.5838,                 1.1307,                0.97381,                0.95332,                0.98054,                0.75314,                0.86856,                0.84719,                0.82493,                0.77436,                0.85382,                0.28145,                 4.5829,                0.46003,                 1.0894,              0.0019109,              0.0019109,              0.0019109
                     11,                 0.7514,                0.20382,                  1.502,                0.54012,                 1.0966,                0.91119,                0.94872,                0.98233,                 0.7492,                0.86392,                0.81197,                0.85263,                0.80285,                0.87966,                 0.2982,                 3.7039,                0.50393,                 1.1276,               0.001901,               0.001901,               0.001901
                     12,                0.83907,                0.26147,                   1.73,                0.61525,                 1.1652,                0.95976,                0.92308,                0.97727,                0.75418,                0.85122,                0.82051,                 0.8456,                0.79142,                0.84653,                0.29197,                 3.5995,                0.47164,                 1.0923,              0.0018911,              0.0018911,              0.0018911
                     13,                0.78811,                0.21843,                 1.5866,                0.57607,                  1.154,                0.96138,                0.95726,                0.98125,                0.77727,                0.86667,                0.86325,                0.84168,                0.78191,                 0.8257,                0.30957,                 4.2739,                0.42279,                 1.0617,              0.0018812,              0.0018812,              0.0018812
                     14,                0.76183,                0.21069,                 1.5584,                0.57713,                 1.1233,                0.97168,                0.94017,                0.98717,                0.78151,                0.85969,                0.83761,                0.84994,                0.78288,                0.85542,                0.31114,                 4.4383,                 0.4706,                 1.0778,              0.0018713,              0.0018713,              0.0018713
                     15,                0.77905,                0.22091,                  1.578,                0.58155,                 1.1116,                0.98273,                0.97247,                0.98561,                0.78311,                0.87912,                0.87027,                0.84044,                0.76686,                0.78723,                 0.3054,                 4.7883,                0.40361,                 1.0504,              0.0018614,              0.0018614,              0.0018614
                     16,                0.73801,                0.20455,                 1.4832,                0.56019,                 1.1315,                0.97274,                0.91503,                0.97843,                0.77326,                0.85012,                0.82417,                0.82644,                0.76411,                0.82028,                0.33561,                 4.5155,                 0.4488,                 1.0635,              0.0018515,              0.0018515,              0.0018515
                     17,                0.75321,                0.20525,                 1.4784,                0.54906,                 1.1213,                0.98133,                0.88889,                0.97435,                 0.7483,                0.86381,                0.79487,                0.83796,                0.77505,                0.86506,                 0.3456,                 4.1073,                0.57503,                 1.0936,              0.0018416,              0.0018416,              0.0018416
                     18,                 0.8016,                0.22817,                 1.6468,                0.58374,                 1.1083,                0.97187,                0.94017,                0.98707,                0.77144,                0.86003,                0.84025,                0.86131,                0.79073,                0.87972,                0.34502,                 4.8753,                0.44785,                 1.1174,              0.0018317,              0.0018317,              0.0018317
                     19,                0.73658,                0.20148,                 1.4638,                0.54977,                 1.1211,                0.97387,                 0.9557,                0.98174,                0.77246,                0.87588,                 0.8547,                0.83804,                0.73062,                 0.8094,                0.43348,                 4.1187,                0.45606,                  1.107,              0.0018218,              0.0018218,              0.0018218
                     20,                0.72448,                0.17062,                 1.3959,                0.54179,                 1.1308,                0.95605,                 0.9296,                0.98043,                0.76305,                0.84246,                0.82272,                 0.8434,                0.79441,                0.83855,                0.33208,                 4.4096,                0.45236,                 1.0867,              0.0018119,              0.0018119,              0.0018119
                     21,                0.74346,                0.19468,                 1.4257,                0.55828,                 1.1245,                 0.9818,                0.92222,                0.97199,                 0.7598,                0.87734,                0.82051,                0.84304,                0.76112,                0.83865,                0.39768,                 4.5929,                 0.4999,                  1.126,               0.001802,               0.001802,               0.001802
                     22,                0.75724,                0.22862,                 1.5826,                0.57903,                 1.1233,                0.96508,                0.94483,                0.97537,                0.75976,                0.86008,                 0.8547,                0.83976,                0.77534,                0.86095,                 0.3448,                 4.3003,                0.49374,                 1.1233,              0.0017921,              0.0017921,              0.0017921
                     23,                 0.7219,                0.19221,                 1.4048,                0.53966,                 1.0927,                 0.9739,                0.95673,                0.97989,                0.75472,                0.86893,                0.84998,                0.83405,                0.76905,                0.90214,                0.33679,                 4.7408,                0.53088,                 1.1881,              0.0017822,              0.0017822,              0.0017822
                     24,                0.73926,                0.19733,                  1.476,                0.54049,                 1.1409,                0.98856,                0.91453,                0.97684,                0.75645,                0.85276,                0.84154,                  0.848,                0.80662,                0.87009,                0.32153,                 3.7547,                0.46868,                 1.1223,              0.0017723,              0.0017723,              0.0017723
                     25,                 0.7539,                0.19564,                 1.4101,                 0.5418,                 1.1507,                0.97775,                0.94017,                0.98554,                0.76251,                0.87027,                0.83761,                 0.8485,                0.77734,                0.87497,                0.33169,                 5.4821,                0.45285,                 1.0972,              0.0017624,              0.0017624,              0.0017624
                     26,                0.77152,                0.20629,                 1.4594,                0.56629,                 1.0753,                0.99538,                0.92308,                 0.9801,                 0.7715,                0.87537,                0.81197,                0.84154,                0.74183,                0.82587,                0.40819,                 4.8712,                0.46531,                 1.0841,              0.0017525,              0.0017525,              0.0017525
                     27,                0.71557,                0.18349,                 1.2942,                0.52709,                 1.1139,                0.98879,                0.94872,                0.98507,                0.79119,                0.88179,                0.84615,                0.83455,                 0.7559,                 0.7804,                0.36466,                   4.11,                0.40665,                 1.0305,              0.0017426,              0.0017426,              0.0017426
                     28,                0.74551,                 0.1984,                 1.4931,                0.54769,                   1.12,                      1,                0.96415,                 0.9913,                0.75491,                0.87395,                0.84615,                0.84096,                0.78914,                 0.9048,                0.31402,                 4.7457,                0.43729,                 1.1196,              0.0017327,              0.0017327,              0.0017327
                     29,                0.73613,                  0.194,                 1.4465,                0.54452,                 1.1162,                0.98183,                0.88889,                0.94866,                0.73732,                0.88722,                0.81197,                0.81876,                0.74012,                0.86312,                0.39688,                 8.0571,                0.79794,                 1.1156,              0.0017228,              0.0017228,              0.0017228
                     30,                0.71642,                 0.1748,                 1.4123,                0.53904,                 1.1163,                0.99103,                0.94407,                0.98716,                0.78408,                0.86551,                0.82506,                 0.8302,                0.77364,                0.79911,                0.28652,                 5.9369,                 0.4129,                  1.094,              0.0017129,              0.0017129,              0.0017129
                     31,                0.73035,                0.19979,                 1.3497,                0.53329,                 1.0688,                0.97316,                0.93162,                0.98114,                 0.7767,                0.87225,                0.82051,                0.83473,                 0.7652,                 0.8051,                0.31381,                 5.0298,                0.45681,                 1.0341,               0.001703,               0.001703,               0.001703
                     32,                0.71449,                0.16545,                 1.2042,                0.51225,                 1.1123,                0.97327,                0.97436,                0.98545,                0.77037,                0.87585,                 0.8442,                0.83135,                0.77094,                0.80629,                0.34196,                 5.8134,                0.47652,                 1.0868,              0.0016931,              0.0016931,              0.0016931
                     33,                0.72932,                0.18401,                 1.4457,                0.53113,                 1.1266,                0.99123,                0.96563,                0.99016,                0.79099,                0.88521,                0.86325,                0.86395,                0.80913,                0.79548,                 0.3064,                 5.3228,                0.41706,                 1.1051,              0.0016832,              0.0016832,              0.0016832
                     34,                0.77898,                0.20824,                 1.5237,                0.57016,                 1.0992,                0.95739,                0.96032,                0.98487,                0.80028,                0.83519,                 0.8547,                0.85123,                0.79903,                0.79528,                0.33432,                 4.5373,                0.40967,                 1.0263,              0.0016733,              0.0016733,              0.0016733
                     35,                0.71673,                0.18829,                 1.1982,                0.51612,                 1.0771,                 0.9704,                0.92308,                0.97343,                0.79017,                0.85826,                0.82806,                0.83535,                0.78925,                0.83041,                0.31703,                 4.9653,                 0.4895,                 1.0778,              0.0016634,              0.0016634,              0.0016634
                     36,                0.76659,                0.18806,                 1.3978,                0.56151,                  1.113,                0.96445,                0.97436,                0.98371,                 0.7951,                0.85355,                0.86325,                0.83681,                 0.7772,                0.76814,                0.35716,                 4.3057,                0.41032,                   1.05,              0.0016535,              0.0016535,              0.0016535
                     37,                0.71609,                0.17376,                 1.2906,                0.52781,                 1.0958,                0.92868,                0.95726,                0.98125,                0.80021,                0.82008,                0.87179,                0.84283,                0.72101,                0.74809,                0.38999,                 5.6738,                0.45973,                  1.039,              0.0016436,              0.0016436,              0.0016436
                     38,                0.74904,                0.19229,                 1.5342,                0.54764,                 1.0934,                0.94836,                0.94174,                0.97892,                0.78417,                0.87993,                0.81432,                0.84762,                0.77845,                0.81232,                0.30008,                 4.1409,                0.44476,                 1.0572,              0.0016337,              0.0016337,              0.0016337
                     39,                0.71695,                0.18225,                 1.3568,                0.52797,                 1.1081,                0.97372,                0.95011,                0.99127,                0.78371,                0.86954,                0.85451,                0.85648,                0.79375,                 0.8231,                0.32365,                 5.6873,                0.41343,                 1.0769,              0.0016238,              0.0016238,              0.0016238
                     40,                0.70902,                0.17749,                 1.3406,                0.52413,                 1.0832,                0.98088,                0.94872,                0.98155,                0.78774,                0.86485,                0.83761,                0.83972,                0.79208,                 0.8022,                0.28904,                 4.5149,                0.44963,                 1.0811,              0.0016139,              0.0016139,              0.0016139
                     41,                0.69719,                0.17958,                 1.3025,                0.51028,                 1.0798,                0.97365,                0.94764,                0.97985,                0.78303,                0.86086,                0.84615,                0.85772,                0.78926,                0.84726,                 0.3281,                  5.563,                0.45265,                 1.0768,               0.001604,               0.001604,               0.001604
                     42,                0.69471,                 0.1565,                 1.2421,                 0.5047,                 1.1316,                      1,                0.94657,                0.98437,                0.79971,                0.87364,                0.82731,                 0.8445,                0.79164,                0.81069,                0.33676,                 5.8277,                0.44539,                 1.0741,              0.0015941,              0.0015941,              0.0015941
                     43,                0.72744,                0.18879,                 1.4629,                0.53077,                 1.1178,                0.96195,                0.94017,                0.97462,                0.78239,                0.86478,                0.84615,                0.83923,                0.78898,                0.84681,                0.33234,                 5.5892,                 0.4537,                 1.1215,              0.0015842,              0.0015842,              0.0015842
                     44,                0.72773,                 0.1934,                 1.3256,                 0.5379,                 1.1117,                0.95435,                0.89342,                0.95461,                 0.7423,                0.86282,                0.80636,                0.81919,                0.76934,                 0.8462,                0.34642,                 6.3011,                0.50492,                 1.1121,              0.0015743,              0.0015743,              0.0015743
                     45,                0.76249,                0.21667,                 1.5106,                0.56146,                 1.0978,                 0.9732,                0.94017,                0.97864,                0.79192,                0.85867,                0.83088,                0.84073,                0.77968,                0.80832,                0.34464,                  4.351,                0.44161,                 1.0763,              0.0015644,              0.0015644,              0.0015644
                     46,                0.68688,                0.17885,                 1.3538,                0.51261,                 1.1055,                0.95773,                0.96818,                0.97683,                0.78201,                0.84798,                0.85816,                0.82039,                0.75901,                0.81194,                0.32384,                  4.511,                0.48181,                 1.0791,              0.0015545,              0.0015545,              0.0015545
                     47,                0.75264,                0.19386,                 1.4588,                0.56049,                  1.101,                0.98201,                0.93305,                0.97818,                0.77989,                0.87498,                0.83749,                0.85584,                 0.8033,                0.83775,                0.31641,                  4.533,                0.44955,                 1.0974,              0.0015446,              0.0015446,              0.0015446
                     48,                0.73596,                0.17343,                 1.3245,                0.53699,                 1.1045,                0.99981,                0.96581,                0.97044,                0.76989,                0.89335,                0.86325,                0.83307,                 0.7742,                0.79219,                0.29791,                 4.7188,                0.51636,                 1.0877,              0.0015347,              0.0015347,              0.0015347
                     49,                0.70166,                0.16979,                 1.2651,                0.51357,                 1.1185,                 0.9871,                0.93162,                0.96913,                0.76448,                0.86829,                0.84517,                0.83659,                0.78218,                0.80681,                0.30563,                 3.9407,                0.48025,                  1.097,              0.0015248,              0.0015248,              0.0015248
                     50,                0.72676,                0.19514,                 1.3363,                0.52875,                  1.081,                0.94107,                0.95548,                0.97449,                0.76812,                0.84024,                0.85412,                0.83809,                0.79027,                0.80924,                 0.3146,                  5.261,                0.47577,                 1.0705,              0.0015149,              0.0015149,              0.0015149
                     51,                0.70183,                0.17185,                  1.214,                0.51127,                 1.0618,                0.94686,                0.96581,                0.97982,                0.78477,                0.84565,                0.86325,                0.85071,                0.79503,                0.77597,                0.29851,                 5.0285,                0.43894,                  1.041,               0.001505,               0.001505,               0.001505
                     52,                0.70232,                0.19063,                 1.3396,                0.51789,                 1.0981,                0.98957,                0.92308,                0.97726,                 0.7881,                0.87932,                0.82051,                0.83414,                0.78257,                0.79004,                0.30609,                 3.7008,                0.49084,                 1.0503,              0.0014951,              0.0014951,              0.0014951
                     53,                0.75465,                 0.2011,                 1.3782,                0.56232,                 1.1063,                0.96771,                0.93162,                0.97526,                0.77759,                0.86949,                0.83761,                0.83773,                0.78701,                 0.8093,                0.29652,                 5.4245,                0.51273,                 1.0578,              0.0014852,              0.0014852,              0.0014852
                     54,                0.68193,                0.16186,                 1.2187,                0.49466,                 1.0967,                0.98654,                0.95726,                 0.9865,                0.79324,                0.87077,                0.84615,                0.83582,                0.78944,                0.79064,                 0.2778,                 5.1954,                0.40688,                 1.0423,              0.0014753,              0.0014753,              0.0014753
                     55,                0.67164,                0.17236,                 1.1804,                0.49336,                 1.0853,                0.95012,                0.97678,                0.98872,                0.77788,                0.86989,                0.83761,                0.84366,                0.79726,                0.79787,                0.25936,                 4.8285,                0.43534,                 1.0758,              0.0014654,              0.0014654,              0.0014654
                     56,                0.70308,                0.16704,                 1.1482,                0.51484,                 1.1067,                0.96121,                0.96581,                0.98473,                0.78775,                0.85287,                0.83761,                0.83889,                 0.7944,                0.80442,                0.30529,                  5.059,                0.41824,                 1.0777,              0.0014555,              0.0014555,              0.0014555
                     57,                0.68029,                0.16557,                 1.1997,                0.50747,                 1.1005,                      1,                0.95591,                0.98886,                0.79649,                0.89274,                 0.8537,                0.84126,                0.78058,                0.79105,                0.28807,                 4.5401,                0.41994,                 1.0516,              0.0014456,              0.0014456,              0.0014456
                     58,                0.68689,                0.16526,                 1.1772,                0.50142,                 1.0741,                0.98151,                0.90718,                 0.9811,                0.76166,                0.84991,                0.81197,                 0.8382,                0.78724,                0.85266,                0.28017,                  4.165,                0.45422,                 1.1266,              0.0014357,              0.0014357,              0.0014357
                     59,                0.68235,                0.16257,                 1.1879,                0.49636,                 1.0828,                0.96423,                0.92171,                0.98347,                0.79459,                0.84299,                0.82051,                0.82461,                0.77686,                0.79203,                0.27227,                 4.7339,                0.42357,                 1.0551,              0.0014258,              0.0014258,              0.0014258
                     60,                0.67316,                0.16568,                 1.1561,                 0.4952,                 1.0741,                      1,                0.93662,                0.98782,                0.81221,                0.87232,                0.81755,                0.83112,                0.78908,                0.73473,                 0.2728,                  5.623,                0.41323,                 1.0393,              0.0014159,              0.0014159,              0.0014159
                     61,                0.78795,                0.20984,                 1.4363,                0.57868,                 1.0946,                0.97262,                0.96581,                0.98742,                0.78102,                0.85943,                 0.8547,                0.85547,                0.80471,                0.85356,                0.26313,                 4.1616,                0.44278,                 1.0831,               0.001406,               0.001406,               0.001406
                     62,                 0.7085,                0.16365,                  1.277,                0.51943,                 1.0846,                0.99812,                0.94017,                0.98557,                0.79095,                0.88908,                0.83761,                0.84533,                0.79274,                0.80038,                0.26728,                 4.5199,                0.42056,                 1.0813,              0.0013961,              0.0013961,              0.0013961
                     63,                0.73046,                0.17361,                 1.2797,                0.53096,                 1.0627,                      1,                0.93709,                0.98532,                0.78992,                0.89085,                0.83709,                0.83867,                0.78055,                  0.823,                0.28852,                 3.9402,                0.40522,                 1.0851,              0.0013862,              0.0013862,              0.0013862
                     64,                0.73158,                0.17579,                 1.2527,                0.52763,                 1.1004,                 0.9629,                0.95726,                0.98548,                 0.7944,                 0.8595,                 0.8547,                0.84155,                0.79781,                 0.7863,                0.27295,                 4.1134,                0.43552,                 1.0378,              0.0013763,              0.0013763,              0.0013763
                     65,                0.72862,                0.17573,                 1.2058,                0.53462,                 1.0749,                      1,                0.94485,                0.97753,                0.78538,                 0.8915,                0.84274,                0.83207,                0.77033,                0.78573,                0.28292,                 4.2402,                0.42697,                 1.0409,              0.0013664,              0.0013664,              0.0013664
