                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51058,                0.12362,                 1.3552,                0.36022,                0.99277,                 0.9624,                0.99057,                0.98828,                0.89445,                 0.9624,                0.99057,                0.98777,                0.95883,                0.49795,                0.15872,                 2.2582,                0.26672,                0.91075,              0.0032843,              0.0032843,              0.0032843
                      2,                0.51562,                0.10211,                 1.0092,                0.35781,                0.99619,                0.96779,                 0.9717,                0.98665,                0.88913,                0.95701,                0.99371,                0.98664,                0.95397,                0.50308,                0.15774,                 1.7572,                0.26332,                0.90873,              0.0065779,              0.0065779,              0.0065779
                      3,                0.53485,                0.09826,                 1.0186,                0.37421,                0.99722,                0.97467,                0.96797,                0.98712,                0.88392,                0.96702,                0.97799,                0.98711,                0.95486,                0.48871,                0.15399,                  1.596,                0.26318,                0.89683,              0.0098316,              0.0098316,              0.0098316
                      4,                0.54902,                 0.1007,                 1.0384,                 0.3819,                 1.0109,                0.95697,                0.97911,                0.98571,                0.87617,                0.94834,                0.98134,                 0.9851,                0.95464,                0.53487,                0.15794,                 1.4653,                0.28148,                0.91383,                0.00982,                0.00982,                0.00982
                      5,                0.55389,                0.09675,                 0.9816,                0.38587,                 1.0069,                0.96872,                0.97383,                0.98763,                0.87136,                0.96559,                0.97073,                0.98687,                0.94216,                0.52363,                0.17875,                  1.387,                0.29114,                0.91487,                0.00976,                0.00976,                0.00976
                      6,                0.56427,                0.10721,                 1.0538,                0.39285,                 1.0155,                0.96033,                0.98972,                0.98556,                0.89206,                0.95728,                0.98658,                0.98464,                0.94572,                 0.4949,                0.17822,                 1.7586,                0.27739,                0.89796,                 0.0097,                 0.0097,                 0.0097
                      7,                0.55628,                0.10077,                 1.0008,                0.38772,                 1.0124,                0.96519,                0.97484,                0.98481,                0.88852,                0.96519,                0.97484,                0.98364,                0.95573,                0.51345,                0.16637,                 1.6059,                0.28926,                0.89658,                0.00964,                0.00964,                0.00964
                      8,                0.55142,                0.09521,                0.96099,                0.38391,                  1.012,                0.96569,                0.97374,                0.98877,                0.89499,                0.96881,                0.97689,                0.98884,                0.95637,                0.51355,                0.16798,                 1.6552,                0.28377,                0.90204,                0.00958,                0.00958,                0.00958
                      9,                0.56906,                0.10545,                  1.012,                0.39468,                  1.009,                0.97394,                0.92767,                 0.9648,                0.82252,                0.96629,                0.93082,                0.96362,                0.92282,                0.58392,                0.20295,                 1.6484,                0.41433,                0.97024,                0.00952,                0.00952,                0.00952
                     10,                 0.5489,                0.09354,                0.94628,                0.38352,                  1.007,                0.97458,                0.98113,                0.98233,                0.85975,                0.97146,                0.97799,                0.98154,                0.94117,                0.54285,                0.19069,                   1.87,                0.42828,                 0.9227,                0.00946,                0.00946,                0.00946
                     11,                0.53783,                0.08479,                0.92501,                0.37385,                 1.0037,                0.96102,                0.97799,                0.98674,                0.88565,                0.95793,                0.97484,                0.98603,                0.95125,                0.48481,                0.16388,                 1.6298,                0.28187,                0.87582,                 0.0094,                 0.0094,                 0.0094
                     12,                0.54863,                0.09715,                 0.9765,                 0.3797,                 0.9952,                0.97514,                0.98668,                0.99268,                0.91193,                0.97203,                0.98354,                0.99223,                0.96478,                0.49611,                 0.1602,                 1.5999,                 0.2529,                0.89937,                0.00934,                0.00934,                0.00934
                     13,                0.56627,                0.09482,                  0.969,                0.39501,                 1.0125,                0.97763,                 0.9717,                0.98568,                0.88269,                0.97446,                0.96855,                0.98496,                0.95575,                0.48483,                 0.1482,                 1.2909,                0.34156,                0.88896,                0.00928,                0.00928,                0.00928
                     14,                0.53704,                0.08628,                0.92007,                 0.3724,                 1.0113,                0.97512,                0.98601,                0.98819,                0.86333,                0.97201,                0.98287,                 0.9859,                0.94706,                0.54417,                0.18187,                 1.4834,                0.35599,                0.92026,                0.00922,                0.00922,                0.00922
                     15,                0.53646,                0.08937,                0.87213,                0.37412,                0.99639,                0.97247,                0.96855,                0.98965,                0.88115,                0.96931,                0.96541,                0.98659,                0.95141,                0.52856,                0.17423,                 1.6094,                0.28048,                0.90916,                0.00916,                0.00916,                0.00916
                     16,                0.55129,                0.09907,                0.95833,                0.38452,                 1.0048,                0.97452,                0.96855,                0.98768,                0.87188,                0.97136,                0.96541,                0.98678,                 0.9447,                0.54296,                0.18763,                 2.0609,                 0.2904,                0.91797,                 0.0091,                 0.0091,                 0.0091
                     17,                0.54936,                0.09011,                0.96592,                0.38648,                 1.0026,                0.96304,                0.98317,                0.98992,                0.89275,                0.96602,                0.98329,                0.98941,                0.95931,                0.48606,                0.15361,                  1.808,                0.27482,                0.87785,                0.00904,                0.00904,                0.00904
                     18,                0.54172,                0.08765,                0.91222,                0.37972,                 1.0041,                 0.9778,                0.96965,                 0.9896,                0.88174,                0.97463,                 0.9665,                0.98904,                0.95312,                0.51309,                0.16455,                 1.8646,                 0.2796,                0.90942,                0.00898,                0.00898,                0.00898
                     19,                0.53618,                0.07856,                 0.8777,                0.37518,                 1.0111,                0.97085,                 0.9717,                0.98314,                0.88041,                0.96384,                0.96541,                0.98102,                0.93811,                0.47853,                 0.1931,                  1.873,                0.31739,                0.88777,                0.00892,                0.00892,                0.00892
                     20,                0.55705,                0.10015,                0.96054,                0.38732,                0.99996,                0.93176,                0.94464,                0.97474,                0.83189,                0.94727,                0.96036,                0.97982,                0.93253,                0.63075,                0.23797,                 1.8196,                0.37565,                0.96144,                0.00886,                0.00886,                0.00886
                     21,                0.54299,                0.09281,                    0.9,                0.37907,                 1.0018,                 0.9837,                0.94892,                0.97466,                0.84445,                0.98044,                0.94577,                0.97569,                0.93021,                 0.5866,                0.20462,                 2.1014,                0.37381,                0.93318,                 0.0088,                 0.0088,                 0.0088
                     22,                0.54079,                0.08825,                0.86834,                0.37878,                0.99843,                 0.9747,                0.96905,                0.98309,                0.87764,                0.97153,                 0.9659,                0.98077,                0.93424,                0.49919,                0.19647,                 1.7799,                0.32995,                0.88894,                0.00874,                0.00874,                0.00874
                     23,                0.53487,                0.08632,                0.90771,                0.37569,                 1.0012,                0.97788,                0.97328,                0.99129,                0.89363,                0.97185,                0.97705,                0.99063,                0.95747,                0.50091,                0.17017,                 1.5416,                0.26301,                0.89925,                0.00868,                0.00868,                0.00868
                     24,                0.53548,                0.08565,                0.86267,                0.37784,                 1.0023,                0.96874,                0.97446,                0.98428,                0.89353,                0.96249,                0.96817,                0.98181,                0.94394,                0.51012,                0.21406,                 1.7433,                0.30267,                0.89605,                0.00862,                0.00862,                0.00862
                     25,                0.53367,                0.08465,                 0.8696,                0.37434,                0.99937,                0.95707,                0.98147,                0.98927,                0.88521,                0.95404,                0.98113,                0.98534,                0.94518,                0.50893,                0.19537,                 1.6204,                0.28424,                0.89892,                0.00856,                0.00856,                0.00856
                     26,                 0.5208,                0.07488,                0.81773,                0.36411,                 1.0006,                0.96272,                0.97442,                0.98988,                0.87864,                0.96272,                0.97442,                 0.9896,                0.95699,                0.51692,                0.16183,                 1.5835,                0.28737,                0.90944,                 0.0085,                 0.0085,                 0.0085
                     27,                0.54778,                0.08902,                0.92371,                0.38007,                0.99693,                0.96897,                0.96541,                0.97958,                0.85707,                0.96897,                0.96541,                0.97706,                0.93492,                0.55399,                0.19502,                 1.7231,                0.36677,                0.91602,                0.00844,                0.00844,                0.00844
